ledger_id,employee_id,plan_code,plan_name,period,opening_balance,accrued_days,taken_days,adjusted_days,closing_balance,max_entitlement,last_updated,updated_by,ledger_status
LDGL357T2BHQ,EMP00278,UL-PLAN-07,Unpaid Leave,2023-Q3,8.38,3.48,8.96,1.82,-5.72,15,2024-08-16,EMP00013,Final
LDGC1JOB14XO,EMP00358,CL-PLAN-03,Casual Leave,2023-Q4,15.49,3.19,0.97,-0.68,17.03,20,2024-09-01,EMP00044,Draft
LDG03A3CESOZ,EMP00109,PL-PLAN-05,Paternity Leave,2023-Q3,6.39,3.34,1.08,-1.13,7.52,18,2024-12-14,EMP00017,Final
LDG2G4XJBDHT,EMP00563,SL-PLAN-02,Sick Leave,2023-Q4,3.69,1.86,25.55,0.06,4.38,18,2024-02-28,EMP00035,Revised
LDGGP4L6L5Q8,EMP00080,CO-PLAN-06,Compensatory Off,2023-Q4,21.56,9.2,30.24,2.86,3.38,15,2024-03-31,EMP00028,Final
LDGULEITWO4Y,EMP00553,SL-PLAN-02,Sick Leave,2023-Q2,2.84,4.32,6.29,-0.64,0.23,20,2025-04-23,EMP00022,Final
LDGBY171DDAA,EMP00671,CO-PLAN-06,Compensatory Off,2023-Q4,15.78,3.52,4.71,2.31,16.9,15,2024-01-18,EMP00006,Final
LDG5WFZ7RWB9,EMP00452,PL-PLAN-05,Paternity Leave,2024-Q1,9.55,-5.0,6.77,2.68,8.7,20,2024-10-31,EMP00033,Draft
LDGRKJ1FFAP3,EMP00446,CL-PLAN-03,Casual Leave,2024-Q2,22.94,0.63,2.73,-2.51,18.33,30,2024-05-22,EMP00010,Final
LDGKIMD0TEA2,EMP00413,BL-PLAN-08,Bereavement Leave,2024-Q1,9.31,3.57,9.71,0.63,-4.8,30,2025-05-18,EMP00039,Final
LDGTV4QZWODT,EMP00459,PL-PLAN-05,Paternity Leave,2023-Q2,5.01,1.7,1.86,1.69,6.54,30,2024-07-29,EMP00004,Revised
LDG1FSAVNGF8,EMP00490,SL-PLAN-02,Sick Leave,2024-Q4,11.47,7.98,2.03,0.23,17.65,21,2023-12-01,EMP00046,Draft
LDG1IO2NACCK,,CL-PLAN-03,Casual Leave,2023-Q3,8.87,2.21,7.31,-2.86,0.91,15,2023-05-13,EMP00047,Revised
LDG9NQ90VFZ2,EMP00033,PL-PLAN-05,Paternity Leave,2024-Q2,16.31,5.44,10.43,-2.84,8.48,25,2025-02-22,EMP00043,Draft
LDGKTJ4T4M66,EMP00104,ML-PLAN-04,Maternity Leave,2024-Q2,15.05,2.76,3.2,0.01,14.62,20,2023-03-28,EMP00007,Final
LDGAE62GX4QQ,EMP00604,PL-PLAN-05,Paternity Leave,2024-Q3,24.66,4.62,13.43,2.03,35.0,25,2024-04-27,EMP00030,Final
LDGVUNVUHN0N,EMP00038,PL-PLAN-05,Paternity Leave,2023-Q2,5.56,4.36,1.16,-0.05,8.71,30,2024-12-16,EMP00021,Draft
LDGJ85HHOQK9,EMP00488,AL-PLAN-01,Annual Leave,2023-Q1,24.62,3.34,21.74,1.55,7.77,20,2025-01-17,EMP00044,Revised
LDGKBHZRZD0V,EMP00787,AL-PLAN-01,Annual Leave,2024-Q4,,6.42,8.37,-1.05,-1.83,21,2024-05-02,EMP00026,Final
LDG4A5ECO3UC,EMP00117,AL-PLAN-01,Annual Leave,2024-Q3,1.69,1.11,1.09,-2.91,-1.2,30,2023-01-07,EMP00009,Draft
LDG3UPSJHJ2H,EMP00529,BL-PLAN-08,Bereavement Leave,2023-Q4,24.22,0.64,4.39,-0.97,19.5,25,2023-11-25,EMP00038,Draft
LDG3JFYNUN7S,EMP00295,CL-PLAN-03,Casual Leave,2023-Q1,1.36,1.09,1.12,-0.4,0.93,20,2023-12-20,EMP00007,Final
LDG0363RJW6L,EMP00707,CL-PLAN-03,Casual Leave,2024-Q1,22.0,2.31,9.79,2.14,16.66,20,2023-06-10,EMP00023,Draft
LDGS9YOLR2EZ,EMP00554,CL-PLAN-03,Casual Leave,INVALID-PERIOD,19.53,6.39,11.39,-2.83,11.7,20,2023-10-16,EMP00013,Final
LDGK29MRX3K4,EMP00374,ML-PLAN-04,Maternity Leave,2025-Q1,1.34,-5.0,2.56,-2.62,3.21,20,2024-09-09,EMP00023,Revised
LDGGKQKRNBPO,,SL-PLAN-02,Sick Leave,2024-Q2,21.92,5.18,9.93,-0.14,17.03,30,2025-01-23,EMP00039,Revised
LDGKS48KYNQ1,EMP00579,CO-PLAN-06,Compensatory Off,2024-Q1,12.87,5.92,5.43,0.75,14.11,20,2025-06-11,EMP00004,Revised
LDGLW4JMX0YP,EMP00413,CO-PLAN-06,Compensatory Off,2024-Q4,13.9,9.49,3.63,-0.96,-19.8,21,2024-12-06,EMP00026,Draft
LDGR39D7E5EO,EMP00495,BL-PLAN-08,Bereavement Leave,2024-Q4,15.61,0.69,1.28,0.74,15.76,20,2024-07-30,EMP00015,Draft
LDGR0SXCKTMR,EMP00640,CO-PLAN-06,Compensatory Off,2023-Q2,12.78,5.88,4.65,2.17,16.18,15,2025-01-17,EMP00004,Final
LDG1ZL68K4NF,EMP00437,PL-PLAN-05,Paternity Leave,2023-Q4,11.78,1.94,12.29,2.64,4.07,18,2024-05-15,EMP00034,Revised
LDG630TGEAMI,EMP00416,BL-PLAN-08,Bereavement Leave,2024-Q1,19.36,7.66,19.85,-2.19,4.98,20,2023-09-10,EMP00044,Final
LDG84MEFGUX5,EMP00574,CL-PLAN-03,Casual Leave,2024-Q1,2.94,0.26,0.51,2.26,4.95,18,2023-12-27,EMP00040,Revised
LDGQCZJL6KAK,EMP00064,UL-PLAN-07,Unpaid Leave,2023-Q1,14.9,8.05,42.95,1.61,16.25,21,2023-03-12,EMP00045,Final
LDGUJSV1JQY3,EMP00576,ML-PLAN-04,Maternity Leave,2024-Q4,8.89,1.07,2.17,-0.08,7.71,15,2023-07-30,EMP00005,Final
LDGOX531USOY,EMP00406,UL-PLAN-07,Unpaid Leave,2024-Q4,3.85,9.68,9.66,-1.11,2.76,20,2025-02-18,EMP00045,Draft
LDGH2WJLZKYQ,EMP00105,BL-PLAN-08,Bereavement Leave,2023-Q1,14.54,5.67,13.33,-1.62,38.0,15,2024-11-12,EMP00026,Revised
LDGNBT9IKQ46,EMP00709,PL-PLAN-05,Paternity Leave,2023-Q2,0.8,0.71,1.41,-1.45,-1.35,25,2023-05-31,EMP00042,Revised
LDG97VELG76E,,CO-PLAN-06,Compensatory Off,2023-Q2,10.75,7.7,5.33,-1.72,11.4,21,2025-06-10,EMP00042,Final
LDGWPBPQ8NS0,EMP00344,CO-PLAN-06,Compensatory Off,2025-Q1,16.88,3.06,19.9,2.61,2.65,15,2024-11-20,EMP00012,Final
LDGVANVO6P6E,EMP00335,SL-PLAN-02,Sick Leave,2023-Q2,15.39,2.11,6.87,-0.77,9.86,21,2025-02-15,EMP00017,Draft
LDGNULPHBKGJ,EMP00279,UL-PLAN-07,Unpaid Leave,2023-Q1,4.47,-5.0,10.43,-1.25,-0.47,21,2023-04-16,EMP00008,Final
LDGO8G25PF4Y,EMP00279,ML-PLAN-04,Maternity Leave,2024-Q3,11.45,9.73,14.01,1.24,8.41,30,2024-09-18,EMP00031,Revised
LDGXPJ9HPORH,EMP00583,UL-PLAN-07,Unpaid Leave,2023-Q4,22.47,6.4,24.85,2.6,6.62,25,2025-01-09,EMP00011,Final
LDGG6RT0D8BG,EMP00101,PL-PLAN-05,Paternity Leave,2025-Q1,16.92,3.89,1.23,0.81,20.39,21,2023-04-12,EMP00001,Final
LDGLZX2YQPW2,EMP00020,CO-PLAN-06,Compensatory Off,2025-Q1,24.95,5.48,25.65,2.95,-8.73,30,2024-01-17,EMP00013,Revised
LDGRH1G3C132,EMP00297,UL-PLAN-07,Unpaid Leave,2023-Q3,22.93,2.54,23.46,2.71,4.72,18,2023-03-20,EMP00008,Revised
LDG32U800DWX,EMP00104,PL-PLAN-05,Paternity Leave,2024-Q1,23.78,2.58,14.43,-0.29,11.64,20,2024-07-24,EMP00008,Final
LDG7M207KCLW,EMP00097,AL-PLAN-01,Annual Leave,INVALID-PERIOD,7.02,7.81,11.94,-0.57,2.32,18,2023-04-28,EMP00016,Revised
LDG6E1DDBX5S,EMP00307,ML-PLAN-04,Maternity Leave,2024-Q3,16.24,3.41,2.97,1.99,18.67,21,2023-10-13,EMP00036,Final
LDGT3KQ5MT0X,EMP00690,PL-PLAN-05,Paternity Leave,2024-Q3,0.14,3.28,0.49,1.31,4.24,18,2023-02-10,EMP00045,Revised
LDGN0VMKL39R,,CO-PLAN-06,Compensatory Off,2023-Q1,15.46,0.88,0.81,0.12,15.65,21,2023-05-30,EMP00040,Revised
LDGW1YG60SQJ,EMP00323,CO-PLAN-06,Compensatory Off,2025-Q1,10.6,0.34,5.34,0.69,6.29,20,2023-11-14,EMP00046,Final
LDGX7R5S2XSX,EMP00640,ML-PLAN-04,Maternity Leave,2023-Q3,14.04,7.94,3.67,-2.77,15.54,15,2023-02-12,EMP00002,Revised
LDGH4EMHZWHI,EMP00680,PL-PLAN-05,Paternity Leave,2024-Q3,16.98,6.35,6.01,-2.68,-15.64,15,2025-04-07,EMP00026,Revised
LDGFTWP76BFC,EMP00084,SL-PLAN-02,Sick Leave,2025-Q1,1.7,6.42,3.06,0.6,5.66,15,2024-03-15,EMP00008,Revised
LDGIZ3YR9FJA,EMP00212,ML-PLAN-04,Maternity Leave,2023-Q2,18.13,7.4,17.57,-1.91,6.05,25,2023-10-17,EMP00031,Draft
LDGZSLF0H9XA,EMP00621,CL-PLAN-03,Casual Leave,2023-Q1,20.85,4.98,4.37,-1.79,39.0,18,2023-05-22,EMP00041,Final
LDG676BYCMVD,EMP00776,CL-PLAN-03,Casual Leave,2023-Q1,13.99,-5.0,10.32,-2.03,1.99,15,2024-06-11,EMP00017,Final
LDGHYHH56FD8,EMP00701,CL-PLAN-03,Casual Leave,2024-Q3,14.59,7.16,21.26,-1.43,-0.94,30,2023-03-14,EMP00034,Final
LDGWTZ0LWFSO,EMP00729,PL-PLAN-05,Paternity Leave,2023-Q4,22.44,5.45,24.95,-1.45,1.49,15,2024-01-13,EMP00020,Draft
LDG4V7QLX084,EMP00462,AL-PLAN-01,Annual Leave,2025-Q1,11.72,1.19,11.06,0.18,2.03,18,2024-01-06,EMP00017,Revised
LDGQA056PJLU,EMP00176,SL-PLAN-02,Sick Leave,2024-Q3,8.49,2.73,11.19,1.89,1.92,20,2024-03-17,EMP00044,Final
LDGPO3M19TJ9,EMP00312,SL-PLAN-02,Sick Leave,2023-Q3,,3.28,26.65,2.97,-7.38,15,2023-07-12,EMP00014,Draft
LDGL2G9X4ZQB,,PL-PLAN-05,Paternity Leave,2024-Q1,16.2,4.46,3.39,0.46,17.73,25,2023-09-24,EMP00004,Final
LDGI4ID7UTGP,EMP00360,PL-PLAN-05,Paternity Leave,2023-Q4,5.64,2.94,5.28,2.92,6.22,15,2024-06-01,EMP00040,Final
LDGZXRHER0Q1,EMP00215,UL-PLAN-07,Unpaid Leave,2023-Q3,5.41,0.21,4.97,1.22,1.87,20,2023-08-22,EMP00044,Final
LDGTHRXJC52G,EMP00489,PL-PLAN-05,Paternity Leave,2024-Q1,9.45,2.93,0.07,0.87,13.18,25,2024-08-25,EMP00050,Final
LDG53SEW8IL3,EMP00361,PL-PLAN-05,Paternity Leave,2024-Q2,9.03,5.71,13.17,-2.56,-0.99,15,2024-08-27,EMP00007,Final
LDGAYUL4I34A,EMP00683,CO-PLAN-06,Compensatory Off,2024-Q4,12.35,9.0,1.98,0.19,19.56,15,2024-01-11,EMP00018,Final
LDGRGM8945UF,EMP00473,SL-PLAN-02,Sick Leave,2023-Q4,18.87,0.06,16.79,-2.54,-0.4,15,2024-03-03,EMP00038,Revised
LDGVVZTTM791,EMP00555,BL-PLAN-08,Bereavement Leave,2023-Q3,20.94,1.27,11.1,-2.53,8.58,18,2024-03-16,EMP00003,Revised
LDG26P8U1QCX,EMP00477,SL-PLAN-02,Sick Leave,2023-Q4,19.73,4.93,4.94,0.67,-21.39,15,2025-04-03,EMP00016,Final
LDGDG2CMEZ1Q,EMP00070,ML-PLAN-04,Maternity Leave,INVALID-PERIOD,5.69,4.83,7.56,1.14,4.1,30,2025-05-09,EMP00043,Draft
LDGL9R1GZTY2,EMP00656,UL-PLAN-07,Unpaid Leave,2025-Q1,13.65,7.57,13.94,-0.03,7.25,18,2024-10-04,EMP00005,Draft
LDGD44BJDKOP,EMP00798,SL-PLAN-02,Sick Leave,2023-Q3,11.26,-5.0,13.07,-0.42,1.24,21,2024-08-05,EMP00039,Revised
LDG2HV2OKSLK,EMP00700,PL-PLAN-05,Paternity Leave,2024-Q4,15.24,8.05,18.33,2.79,7.75,30,2025-04-02,EMP00046,Revised
LDGR3BHI1Y45,,UL-PLAN-07,Unpaid Leave,2024-Q3,21.63,1.98,23.3,0.18,0.49,30,2024-06-05,EMP00034,Final
LDG2A5WA4PDA,EMP00369,SL-PLAN-02,Sick Leave,2025-Q1,23.93,9.74,25.13,-0.85,42.0,21,2025-02-21,EMP00017,Draft
LDGZYX3ZD36A,EMP00632,UL-PLAN-07,Unpaid Leave,2024-Q4,10.47,8.78,7.98,-1.38,9.89,20,2024-05-05,EMP00027,Final
LDGYW7HD6D5K,EMP00235,UL-PLAN-07,Unpaid Leave,2024-Q3,18.46,2.31,4.88,1.56,17.45,20,2025-06-06,EMP00032,Draft
LDGPL6CF146P,EMP00601,PL-PLAN-05,Paternity Leave,2024-Q3,10.17,9.23,8.33,2.43,-14.5,15,2024-02-26,EMP00045,Draft
LDGS2KEMLKIM,EMP00113,SL-PLAN-02,Sick Leave,2023-Q4,7.61,0.39,3.67,-0.66,3.67,15,2024-02-05,EMP00006,Final
LDGX39ZILYC1,EMP00542,SL-PLAN-02,Sick Leave,2023-Q1,22.58,3.82,21.13,2.53,7.8,15,2025-04-18,EMP00009,Final
LDGYAHP8QT50,EMP00084,CL-PLAN-03,Casual Leave,2023-Q4,5.01,5.25,2.26,0.17,8.17,20,2024-05-27,EMP00050,Draft
LDGOH1AUVLN9,EMP00426,CL-PLAN-03,Casual Leave,2023-Q1,5.18,1.01,4.43,0.47,2.23,25,2025-04-30,EMP00046,Revised
LDGMRP5XIZHC,EMP00374,CO-PLAN-06,Compensatory Off,2024-Q3,13.22,2.4,4.33,2.14,13.43,15,2023-11-12,EMP00002,Revised
LDG6ZRO7IFLM,EMP00726,UL-PLAN-07,Unpaid Leave,2025-Q1,5.09,1.73,5.7,0.85,1.97,21,2025-01-28,EMP00050,Final
LDGORWSUEDSQ,EMP00514,UL-PLAN-07,Unpaid Leave,2023-Q3,2.71,0.04,1.84,-2.46,-1.55,25,2025-05-26,EMP00028,Final
LDGAYAQEKK2N,EMP00735,PL-PLAN-05,Paternity Leave,2023-Q1,23.8,8.98,12.52,-0.36,19.9,15,2023-10-21,EMP00030,Final
LDG5CEZPJZ09,,SL-PLAN-02,Sick Leave,2023-Q1,7.87,4.84,8.16,2.51,-8.059999999999999,15,2023-11-27,EMP00001,Draft
LDGFX01J59GE,EMP00285,PL-PLAN-05,Paternity Leave,2024-Q1,24.0,1.26,21.35,2.35,6.26,15,2025-05-04,EMP00032,Final
LDGGMYI3IZFT,EMP00445,SL-PLAN-02,Sick Leave,2025-Q1,6.54,-5.0,4.29,-0.53,10.33,25,2024-06-24,EMP00012,Final
LDGFXI7XCOX5,EMP00427,CL-PLAN-03,Casual Leave,2024-Q4,7.55,3.09,30.64,0.3,2.76,25,2024-05-16,EMP00010,Revised
LDGPJUZMIWBT,EMP00169,AL-PLAN-01,Annual Leave,2023-Q4,18.73,3.95,15.91,0.35,7.12,21,2025-04-12,EMP00006,Revised
LDG1AHK5O8UT,EMP00297,BL-PLAN-08,Bereavement Leave,2023-Q3,21.91,8.9,21.34,0.61,10.08,30,2023-08-30,EMP00030,Revised
LDG4APQTKVY5,EMP00530,ML-PLAN-04,Maternity Leave,2024-Q4,18.19,2.96,20.46,-2.92,-2.23,25,2025-01-07,EMP00044,Final
LDGIAXBURJTT,EMP00096,BL-PLAN-08,Bereavement Leave,2023-Q3,2.75,8.73,3.13,2.67,11.02,25,2023-10-10,EMP00011,Revised
LDGYTWFNL0K6,EMP00209,ML-PLAN-04,Maternity Leave,INVALID-PERIOD,3.88,2.83,1.96,-2.17,2.58,18,2024-07-08,EMP00004,Final
LDG8UONLSJIV,EMP00761,UL-PLAN-07,Unpaid Leave,2025-Q1,16.52,4.29,5.41,-2.63,38.0,21,2024-06-06,EMP00007,Revised
LDGQWIESC3EH,EMP00342,PL-PLAN-05,Paternity Leave,2023-Q1,19.92,6.6,7.26,0.34,19.6,15,2024-12-13,EMP00025,Final
LDG95AU4Q7M0,EMP00282,UL-PLAN-07,Unpaid Leave,2024-Q4,8.66,1.48,2.12,-0.65,7.37,15,2025-03-29,EMP00012,Draft
LDGTD4QZGMIL,EMP00582,PL-PLAN-05,Paternity Leave,2025-Q1,0.17,6.74,0.49,1.6,8.02,18,2023-03-07,EMP00039,Draft
LDG7ZE00EJBI,,SL-PLAN-02,Sick Leave,2023-Q2,9.82,6.3,9.26,1.44,8.3,30,2024-06-18,EMP00011,Final
LDGR9OGROMRR,EMP00627,PL-PLAN-05,Paternity Leave,2025-Q1,10.77,8.54,15.74,-2.36,1.21,20,2023-11-29,EMP00040,Final
LDGR12F7UM2S,EMP00050,CO-PLAN-06,Compensatory Off,2023-Q2,0.43,9.94,7.09,1.81,5.09,18,2023-05-25,EMP00028,Revised
LDGNQH1JVO4M,EMP00508,PL-PLAN-05,Paternity Leave,2024-Q4,13.52,2.06,8.37,-2.56,4.65,30,2025-06-04,EMP00019,Final
LDGHMTR1I4MN,EMP00589,BL-PLAN-08,Bereavement Leave,2024-Q2,4.26,1.37,2.26,0.62,3.99,20,2023-11-06,EMP00037,Final
LDG585X3WJZJ,EMP00475,BL-PLAN-08,Bereavement Leave,2023-Q1,,9.77,13.39,-1.89,-19.82,20,2023-07-04,EMP00004,Final
LDGUCH4GZN5U,EMP00743,ML-PLAN-04,Maternity Leave,2024-Q1,20.56,-5.0,15.06,2.96,14.5,15,2023-09-04,EMP00030,Final
LDGMBZH7XD9B,EMP00725,UL-PLAN-07,Unpaid Leave,2023-Q4,16.34,3.28,18.26,-1.52,-0.16,15,2025-02-16,EMP00014,Final
LDGZ884R3UA6,EMP00455,UL-PLAN-07,Unpaid Leave,2024-Q2,13.01,1.45,6.33,1.15,9.28,21,2023-10-06,EMP00021,Revised
LDGHFTRGIF6L,EMP00532,AL-PLAN-01,Annual Leave,2023-Q2,0.28,6.7,0.13,-0.71,6.14,21,2024-02-19,EMP00040,Final
LDGB6BFY58T8,EMP00364,ML-PLAN-04,Maternity Leave,2023-Q3,2.66,9.36,5.82,2.95,9.15,20,2024-08-07,EMP00017,Final
LDGV1SD00WWL,EMP00309,UL-PLAN-07,Unpaid Leave,2024-Q4,21.07,9.71,22.29,0.38,8.87,30,2023-09-06,EMP00021,Draft
LDGZD75ERRW2,EMP00028,AL-PLAN-01,Annual Leave,2025-Q1,5.71,3.95,8.67,-0.21,0.78,20,2023-07-13,EMP00026,Draft
LDGL92Y576N4,,PL-PLAN-05,Paternity Leave,2025-Q1,21.36,1.5,20.34,0.82,3.34,18,2023-01-20,EMP00034,Final
LDGP4ORB6CRP,EMP00052,ML-PLAN-04,Maternity Leave,2023-Q2,18.61,1.6,1.56,-2.78,-16.869999999999997,21,2024-02-09,EMP00008,Revised
LDG3R8QRMNY6,EMP00744,UL-PLAN-07,Unpaid Leave,2024-Q1,6.72,2.47,6.47,2.36,5.08,25,2025-03-15,EMP00001,Final
LDGHGXI147RI,EMP00078,SL-PLAN-02,Sick Leave,2024-Q4,11.05,2.48,0.39,-2.82,10.32,25,2023-03-25,EMP00030,Draft
LDGQGDFNRIME,EMP00709,CL-PLAN-03,Casual Leave,2025-Q1,5.01,5.53,5.12,-1.56,37.0,20,2023-03-14,EMP00014,Revised
LDGRVEK9IJ0G,EMP00749,ML-PLAN-04,Maternity Leave,2023-Q1,24.02,7.04,8.05,1.75,24.76,30,2025-06-07,EMP00026,Draft
LDG8DGTFGM11,EMP00054,CL-PLAN-03,Casual Leave,2024-Q1,11.76,3.62,12.78,1.52,4.12,25,2025-02-08,EMP00010,Draft
LDG4FIP6ZRIG,EMP00594,UL-PLAN-07,Unpaid Leave,INVALID-PERIOD,16.55,4.22,40.769999999999996,-2.53,3.0,18,2023-10-04,EMP00008,Revised
LDGBNI8QMLVF,EMP00162,UL-PLAN-07,Unpaid Leave,2024-Q2,2.62,4.02,4.54,1.83,3.93,18,2023-02-12,EMP00012,Final
LDGEDJQLE7J2,EMP00650,ML-PLAN-04,Maternity Leave,2024-Q1,11.02,3.36,13.03,-1.27,0.08,21,2024-05-29,EMP00018,Final
LDGCH97ILTQR,EMP00422,SL-PLAN-02,Sick Leave,2023-Q1,8.21,-5.0,7.31,-1.93,-6.81,25,2023-08-19,EMP00007,Draft
LDGY8DH02AMO,EMP00132,UL-PLAN-07,Unpaid Leave,2024-Q4,16.24,1.6,4.6,0.05,13.29,18,2023-10-02,EMP00033,Final
LDG90L3JRXVE,EMP00075,UL-PLAN-07,Unpaid Leave,2024-Q3,5.18,8.21,0.15,-0.82,12.42,25,2024-11-12,EMP00004,Draft
LDGA1OEI7PR5,,SL-PLAN-02,Sick Leave,2023-Q4,6.39,3.54,7.62,1.82,4.13,18,2023-09-22,EMP00035,Draft
LDGESD0XARMC,EMP00756,SL-PLAN-02,Sick Leave,2023-Q1,2.29,0.57,0.4,-1.5,0.96,15,2025-02-10,EMP00013,Final
LDG1ROOQG60Q,EMP00357,CO-PLAN-06,Compensatory Off,2023-Q1,15.2,0.12,10.53,1.78,6.57,18,2023-01-05,EMP00020,Final
LDG2BB7ZEXQ5,EMP00356,CO-PLAN-06,Compensatory Off,2023-Q1,15.91,4.27,13.64,1.53,8.07,30,2023-10-29,EMP00014,Final
LDGI68FHSZ7M,EMP00756,UL-PLAN-07,Unpaid Leave,2023-Q3,22.01,9.25,10.18,1.84,22.92,20,2024-07-02,EMP00039,Final
LDG4QOLQZBV7,EMP00681,AL-PLAN-01,Annual Leave,2024-Q3,20.66,2.24,12.55,0.14,10.49,15,2024-10-19,EMP00010,Draft
LDGWL0LUIYBJ,EMP00311,BL-PLAN-08,Bereavement Leave,2024-Q2,1.12,8.86,3.31,-1.09,-6.58,25,2024-08-16,EMP00045,Final
LDGBB8IQA4X2,EMP00495,PL-PLAN-05,Paternity Leave,2023-Q1,5.95,8.61,11.21,-2.83,0.52,21,2023-08-23,EMP00038,Draft
LDG2O1UN3AR5,EMP00050,CO-PLAN-06,Compensatory Off,2023-Q2,5.74,0.83,3.1,0.23,3.7,25,2024-06-24,EMP00007,Final
LDG5DWEOOWYA,EMP00642,CO-PLAN-06,Compensatory Off,2023-Q3,3.08,2.2,3.46,-1.93,-0.11,20,2023-10-08,EMP00010,Revised
LDGJQ7D82EPZ,EMP00381,BL-PLAN-08,Bereavement Leave,2024-Q3,5.57,1.52,5.58,-2.71,-1.2,30,2024-05-20,EMP00012,Final
