enrollment_id,employee_id,plan_id,plan_name,plan_code,plan_category,accrual_frequency,effective_start,effective_end,enrolled_by,enrollment_date,enrollment_status,annual_entitlement,carryover_allowed,max_carryover_days
ENRRVPX7OVS,EMP00023,PLN8968,Unpaid Leave,INVALID_PLAN_XXX,Paid,Annual,2022-11-14,2023-11-14,EMP00030,2022-11-14,Terminated,18,Yes,10.0
ENR0Z6HIRBH,EMP00024,PLN8573,Annual Leave,AL-PLAN-01,Unpaid,Annual,2020-09-01,2021-09-01,EMP00012,2020-09-01,Inactive,12,Yes,15.0
ENRPWHPKD63,EMP00024,PLN8998,Compensatory Off,CO-PLAN-06,Paid,Monthly,2021-01-12,2024-01-12,EMP00033,2021-01-12,Active,12,Yes,5.0
ENRPVLGEIOR,EMP00025,,Paternity Leave,PL-PLAN-05,Statutory,One-Time,NOT-A-DATE,2024-11-06,EMP00023,2021-11-07,Active,10,No,15.0
ENRTP5TY7P5,EMP00025,,Maternity Leave,ML-PLAN-04,Unpaid,Annual,NOT-A-DATE,2025-11-29,EMP00013,2022-11-30,Inactive,12,No,
ENRGXLX6XZV,EMP00025,,Sick Leave,SL-PLAN-02,Paid,Monthly,NOT-A-DATE,2025-08-19,EMP00027,2023-08-20,Pending,15,Yes,10.0
ENRHNIKN27Y,EMP00025,,Bereavement Leave,BL-PLAN-08,Paid,Annual,NOT-A-DATE,2025-01-03,EMP00038,2023-01-04,Active,21,Yes,15.0
ENR47NBYUUV,EMP00026,PLN7494,Annual Leave,AL-PLAN-01,Paid,Monthly,2021-01-16,2022-01-16,EMP00039,2021-01-16,Active,30,No,5.0
ENR2LRD9V0W,EMP00026,PLN3382,Maternity Leave,ML-PLAN-04,Paid,Monthly,2020-12-01,2023-12-01,EMP00026,2020-12-01,Inactive,18,Yes,5.0
ENR3NU4DRWZ,EMP00027,PLN1863,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2021-12-12,2023-12-12,EMP00015,2021-12-12,Inactive,21,Yes,0.0
ENRPAS26N6N,EMP00027,PLN4756,Annual Leave,AL-PLAN-01,Statutory,Annual,2023-11-12,2024-11-11,EMP00023,2023-11-12,Inactive,15,Yes,0.0
ENROL75FCXK,EMP00027,PLN9715,Bereavement Leave,BL-PLAN-08,Paid,One-Time,2023-01-22,2025-01-21,EMP00034,2023-01-22,Active,20,Yes,15.0
ENR03ND8J4C,EMP00027,PLN9039,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2021-04-01,2022-04-01,EMP00023,2021-04-01,Terminated,30,Yes,
ENR5MQHV0NQ,EMP00028,PLN4238,Casual Leave,CL-PLAN-03,Unpaid,Per-Incident,2020-03-22,2021-03-22,EMP00020,2020-03-22,Pending,12,Yes,
ENRO5K06UC2,EMP00028,PLN6558,Paternity Leave,PL-PLAN-05,Statutory,Monthly,2020-04-07,2022-04-07,EMP00012,2020-04-07,Inactive,25,No,5.0
ENRBPJNT2I4,EMP00029,PLN5487,Annual Leave,AL-PLAN-01,Statutory,Monthly,2020-01-07,2022-01-06,EMP00007,2020-01-07,Terminated,10,Yes,0.0
ENRYB4OIUDV,EMP00029,PLN5092,Compensatory Off,CO-PLAN-06,Unpaid,One-Time,2020-06-03,2023-06-03,EMP00038,2020-06-03,Pending,15,Yes,15.0
ENR1JR8VS0Z,EMP00030,PLN3279,Bereavement Leave,BL-PLAN-08,Unpaid,Monthly,2022-02-23,2024-02-23,EMP00038,2022-02-23,Pending,20,Yes,
ENR4MJKKKPV,EMP00030,PLN8351,Casual Leave,CL-PLAN-03,Paid,One-Time,2021-08-25,2023-08-25,EMP00012,2021-08-25,Pending,12,Yes,
ENRVYVBCRIL,EMP00031,PLN5245,Maternity Leave,ML-PLAN-04,Statutory,Per-Incident,2023-02-25,2025-02-24,EMP00038,2023-02-25,Pending,-5,Yes,0.0
ENR5HGWFT7H,EMP00031,PLN6649,Annual Leave,AL-PLAN-01,Paid,Per-Incident,2022-08-01,2023-08-01,EMP00012,2022-08-01,Active,-5,Yes,10.0
ENRGNK66WLN,EMP00031,PLN9718,Unpaid Leave,UL-PLAN-07,Paid,One-Time,2020-08-23,2021-08-23,EMP00042,2020-08-23,Active,-5,Yes,15.0
ENRQCGRLV7P,EMP00032,PLN8909,Sick Leave,SL-PLAN-02,Unpaid,Annual,2021-01-13,2023-01-13,EMP00008,2021-01-13,Inactive,30,Yes,5.0
ENRNA7B9UBN,EMP00032,PLN6071,Unpaid Leave,UL-PLAN-07,Statutory,Per-Incident,2022-06-28,2025-06-27,EMP00043,2022-06-28,Pending,12,No,15.0
ENRQ4Y2AJ9B,EMP00032,PLN3864,Casual Leave,CL-PLAN-03,Paid,One-Time,2020-09-12,2022-09-12,EMP00037,2020-09-12,Active,21,No,5.0
ENRX05EJAMY,EMP00032,PLN6871,Bereavement Leave,BL-PLAN-08,Statutory,Annual,2023-08-06,2025-08-05,EMP00029,2023-08-06,Pending,15,Yes,0.0
ENR0564O9ML,EMP00033,,Annual Leave,AL-PLAN-01,Unpaid,Monthly,2021-07-05,2022-07-05,EMP00037,2021-07-05,Pending,10,Yes,
ENRETLVABNK,EMP00033,,Maternity Leave,ML-PLAN-04,Paid,Annual,2023-02-05,2026-02-04,EMP00009,2023-02-05,Pending,20,No,
ENREFKLOYGN,EMP00034,PLN7372,Paternity Leave,PL-PLAN-05,Paid,Annual,2022-10-31,2023-10-31,EMP00009,2022-10-31,Terminated,25,Yes,
ENRDM4DI4IO,EMP00034,PLN8851,Maternity Leave,ML-PLAN-04,Statutory,One-Time,2023-03-17,2026-03-16,EMP00002,2023-03-17,Terminated,18,Yes,0.0
ENR60JGH10P,EMP00035,PLN4075,Casual Leave,CL-PLAN-03,Unpaid,Per-Incident,2020-01-17,2022-01-16,EMP00016,2020-01-17,Pending,21,Yes,5.0
ENR64EAKY05,EMP00035,PLN5190,Annual Leave,AL-PLAN-01,Paid,Monthly,2023-11-12,2024-11-11,EMP00043,2023-11-12,Terminated,10,No,15.0
ENR3QHQDZTP,EMP00035,PLN2151,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2021-05-19,2024-05-18,EMP00037,2021-05-19,Terminated,21,Yes,0.0
ENRLAQM0OIP,EMP00035,PLN2818,Bereavement Leave,BL-PLAN-08,Unpaid,Annual,2020-06-27,2021-06-27,EMP00009,2020-06-27,Active,12,No,10.0
ENRCSIBR6OP,,PLN8710,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2020-05-04,2022-05-04,EMP00020,2020-05-04,Terminated,12,Yes,0.0
ENR2573V6LX,,PLN7314,Paternity Leave,PL-PLAN-05,Unpaid,Annual,2021-03-12,2023-03-12,EMP00020,2021-03-12,Terminated,10,Yes,15.0
ENRPA26WOEH,,PLN8891,Bereavement Leave,BL-PLAN-08,Paid,Per-Incident,2021-03-05,2023-03-05,EMP00028,2021-03-05,Pending,15,Yes,10.0
ENRZF70L4ID,,PLN6115,Casual Leave,CL-PLAN-03,Paid,Per-Incident,2022-08-19,2023-08-19,EMP00017,2022-08-19,Active,10,Yes,5.0
ENRV1HT5Z8B,EMP00037,PLN6676,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,NOT-A-DATE,2022-06-06,EMP00008,2022-07-06,Inactive,10,Yes,0.0
ENRV8XTB5LU,EMP00037,PLN3761,Maternity Leave,ML-PLAN-04,Statutory,Monthly,NOT-A-DATE,2022-10-25,EMP00019,2022-11-24,Inactive,12,Yes,15.0
ENRB222SFMY,EMP00037,PLN5000,Annual Leave,AL-PLAN-01,Paid,One-Time,NOT-A-DATE,2023-02-23,EMP00002,2023-03-25,Active,21,Yes,0.0
ENRD293HMF6,EMP00038,PLN5844,Sick Leave,SL-PLAN-02,Statutory,Monthly,2020-04-10,2022-04-10,EMP00012,2020-04-10,Pending,30,Yes,0.0
ENRU61MPZGA,EMP00038,PLN7070,Casual Leave,CL-PLAN-03,Paid,Per-Incident,2023-03-09,2025-03-08,EMP00012,2023-03-09,Terminated,21,Yes,
ENR6FBHYMUX,EMP00038,PLN2649,Annual Leave,AL-PLAN-01,Statutory,Monthly,2023-05-01,2026-04-30,EMP00026,2023-05-01,Pending,20,Yes,10.0
ENRYJH5JVPR,EMP00039,PLN7586,Paternity Leave,PL-PLAN-05,Unpaid,Annual,2023-01-24,2025-01-23,EMP00049,2023-01-24,Inactive,30,No,15.0
ENRYSJ65875,EMP00039,PLN6850,Maternity Leave,ML-PLAN-04,Paid,Monthly,2023-02-08,2024-02-08,EMP00010,2023-02-08,Pending,30,No,15.0
ENRUKVO87X0,EMP00039,PLN8168,Unpaid Leave,UL-PLAN-07,Statutory,One-Time,2020-08-27,2021-08-27,EMP00008,2020-08-27,Inactive,20,Yes,
ENR79ZO9575,EMP00040,PLN6238,Casual Leave,CL-PLAN-03,Unpaid,Monthly,2021-05-02,2022-05-02,EMP00040,2021-05-02,Active,12,Yes,15.0
ENREPIJHKSV,EMP00040,PLN3885,Bereavement Leave,BL-PLAN-08,Paid,One-Time,2021-10-10,2023-10-10,EMP00012,2021-10-10,Inactive,12,Yes,15.0
ENRYDCQ1S5Z,EMP00040,PLN9481,Unpaid Leave,UL-PLAN-07,Statutory,One-Time,2020-06-25,2021-06-25,EMP00028,2020-06-25,Terminated,25,No,0.0
ENR1UESIK88,EMP00040,PLN3811,Compensatory Off,CO-PLAN-06,Unpaid,Monthly,2020-10-25,2022-10-25,EMP00049,2020-10-25,Pending,30,Yes,0.0
ENRYF28QYT2,EMP00041,,Maternity Leave,ML-PLAN-04,Statutory,Monthly,2020-08-03,2023-08-03,EMP00031,2035-01-01,Active,15,No,0.0
ENRHJWZLRJQ,EMP00041,,Annual Leave,AL-PLAN-01,Statutory,One-Time,2022-12-05,2025-12-04,EMP00042,2035-01-01,Inactive,15,Yes,
ENR5RTDFR0T,EMP00041,,Bereavement Leave,BL-PLAN-08,Statutory,Monthly,2022-06-07,2023-06-07,EMP00040,2035-01-01,Pending,10,Yes,5.0
ENR3QH5Q9CD,EMP00042,PLN8290,Annual Leave,AL-PLAN-01,Statutory,Per-Incident,2020-01-17,2021-01-16,EMP00018,2020-01-17,Pending,20,Yes,15.0
ENRYPLBBUYU,EMP00042,PLN2467,Paternity Leave,PL-PLAN-05,Statutory,One-Time,2023-01-27,2025-01-26,EMP00041,2023-01-27,Inactive,18,Yes,
ENRC9ZTULMR,EMP00042,PLN3229,Sick Leave,SL-PLAN-02,Paid,Monthly,2023-11-19,2026-11-18,EMP00006,2023-11-19,Terminated,12,Yes,10.0
ENR14MTVQ26,EMP00042,PLN5868,Bereavement Leave,BL-PLAN-08,Paid,Annual,2023-12-07,2026-12-06,EMP00045,2023-12-07,Inactive,15,Yes,15.0
ENRZDI03ZZN,EMP00043,PLN6886,Sick Leave,SL-PLAN-02,Paid,Per-Incident,2022-03-25,2024-03-24,EMP00013,2022-03-25,Active,21,Yes,10.0
ENR2PU1ZU27,EMP00043,PLN1824,Casual Leave,CL-PLAN-03,Statutory,Monthly,2023-12-27,2024-12-26,EMP00027,2023-12-27,Active,10,Yes,10.0
ENRXJDGDGUA,EMP00044,PLN1095,Paternity Leave,PL-PLAN-05,Paid,Annual,2021-03-24,2022-03-24,EMP00024,2021-03-24,Active,25,Yes,
ENRGIDANWE8,EMP00044,PLN8697,Annual Leave,AL-PLAN-01,Unpaid,Monthly,2023-11-04,2025-11-03,EMP00021,2023-11-04,Inactive,30,No,0.0
ENRWMHCSWGN,EMP00045,PLN4480,Annual Leave,INVALID_PLAN_XXX,Unpaid,Annual,2021-09-01,2022-09-01,EMP00042,2021-09-01,Active,18,Yes,
ENR2AA71FX2,EMP00045,PLN2071,Compensatory Off,INVALID_PLAN_XXX,Unpaid,Per-Incident,2023-10-09,2025-10-08,EMP00010,2023-10-09,Active,15,Yes,
ENRHIBJ3X5J,EMP00045,PLN7835,Bereavement Leave,INVALID_PLAN_XXX,Statutory,Per-Incident,2020-11-01,2022-11-01,EMP00045,2020-11-01,Inactive,25,Yes,15.0
ENR1POHXQEI,EMP00046,PLN6977,Bereavement Leave,BL-PLAN-08,Statutory,Monthly,2021-01-20,2022-01-20,EMP00016,2021-01-20,Pending,30,No,0.0
ENR8JT9WG7S,EMP00046,PLN1226,Paternity Leave,PL-PLAN-05,Statutory,Annual,2020-04-27,2023-04-27,EMP00033,2020-04-27,Terminated,12,Yes,
ENRS4AW8XLZ,EMP00047,PLN5823,Unpaid Leave,UL-PLAN-07,Unpaid,Annual,2023-10-10,2025-10-09,EMP00026,2023-10-10,Active,18,No,
ENRCBTN6CVP,EMP00047,PLN1146,Annual Leave,AL-PLAN-01,Statutory,Per-Incident,2023-03-12,2025-03-11,EMP00020,2023-03-12,Pending,25,Yes,0.0
ENR0IC69FA4,EMP00047,PLN9196,Paternity Leave,PL-PLAN-05,Statutory,Per-Incident,2022-04-09,2024-04-08,EMP00013,2022-04-09,Inactive,20,Yes,5.0
ENRW7VR25AR,EMP00048,PLN4236,Casual Leave,CL-PLAN-03,Unpaid,One-Time,2023-03-23,2026-03-22,EMP00008,2023-03-23,Active,10,Yes,15.0
ENRYOBUEJ54,EMP00048,PLN3586,Sick Leave,SL-PLAN-02,Unpaid,Monthly,2023-12-22,2024-12-21,EMP00022,2023-12-22,Pending,25,Yes,10.0
ENRR9S6A9RO,EMP00048,PLN6457,Compensatory Off,CO-PLAN-06,Statutory,Monthly,2022-01-10,2023-01-10,EMP00005,2022-01-10,Pending,20,Yes,0.0
ENR50UJXEEI,EMP00049,,Unpaid Leave,UL-PLAN-07,Statutory,One-Time,NOT-A-DATE,2023-10-15,EMP00027,2021-10-15,Pending,25,Yes,15.0
ENRE6RF89W1,EMP00049,,Paternity Leave,PL-PLAN-05,Paid,Monthly,NOT-A-DATE,2023-07-24,EMP00039,2021-07-24,Active,18,Yes,10.0
ENRBAAL0V3Z,EMP00049,,Maternity Leave,ML-PLAN-04,Paid,Monthly,NOT-A-DATE,2025-05-15,EMP00022,2022-05-16,Pending,21,Yes,
ENRD959F108,EMP00049,,Casual Leave,CL-PLAN-03,Statutory,Annual,NOT-A-DATE,2023-05-31,EMP00022,2020-05-31,Active,15,Yes,5.0
ENRTW0H8VSI,EMP00050,PLN5738,Unpaid Leave,UL-PLAN-07,Statutory,Annual,2023-03-02,2024-03-01,EMP00030,2023-03-02,Pending,30,Yes,5.0
ENR9NGVILYY,EMP00050,PLN9353,Paternity Leave,PL-PLAN-05,Unpaid,Monthly,2022-01-20,2025-01-19,EMP00012,2022-01-20,Active,15,Yes,0.0
ENRMOF4EWE1,EMP00050,PLN6471,Maternity Leave,ML-PLAN-04,Statutory,Monthly,2021-04-26,2022-04-26,EMP00009,2021-04-26,Terminated,20,Yes,0.0
ENRQ8KKS76K,EMP00051,PLN5861,Paternity Leave,PL-PLAN-05,Paid,One-Time,2023-10-07,2024-10-06,EMP00022,2023-10-07,Active,10,Yes,5.0
ENR22U83KLD,EMP00051,PLN6225,Annual Leave,AL-PLAN-01,Paid,Per-Incident,2020-03-18,2023-03-18,EMP00009,2020-03-18,Active,21,No,5.0
ENR6RJUHM8G,EMP00051,PLN7166,Bereavement Leave,BL-PLAN-08,Unpaid,Per-Incident,2023-11-09,2026-11-08,EMP00046,2023-11-09,Terminated,25,No,0.0
ENRPSVLBB03,EMP00052,PLN8182,Compensatory Off,CO-PLAN-06,Paid,Per-Incident,2020-04-02,2021-04-02,EMP00033,2020-04-02,Terminated,25,Yes,
ENROF3EVB7Q,EMP00052,PLN6006,Casual Leave,CL-PLAN-03,Statutory,Per-Incident,2022-01-23,2024-01-23,EMP00044,2022-01-23,Active,12,No,5.0
ENRUS46NM0L,EMP00052,PLN7728,Paternity Leave,PL-PLAN-05,Statutory,Per-Incident,2021-04-07,2022-04-07,EMP00023,2021-04-07,Pending,18,Yes,5.0
ENR2DXPMJHX,EMP00052,PLN8869,Annual Leave,AL-PLAN-01,Paid,One-Time,2022-12-06,2024-12-05,EMP00046,2022-12-06,Active,18,Yes,0.0
ENRPSZQM01J,EMP00053,PLN1350,Sick Leave,SL-PLAN-02,Unpaid,Annual,2023-07-26,2024-07-25,EMP00029,2023-07-26,Pending,10,No,
ENRB1UIHOH7,EMP00053,PLN5227,Bereavement Leave,BL-PLAN-08,Paid,Annual,2021-11-08,2024-11-07,EMP00020,2021-11-08,Inactive,12,Yes,5.0
ENREXP8WECI,EMP00054,PLN6114,Compensatory Off,CO-PLAN-06,Unpaid,Monthly,2023-04-28,2026-04-27,EMP00016,2023-04-28,Active,20,Yes,15.0
ENRXCUJ4JVS,EMP00054,PLN1134,Bereavement Leave,BL-PLAN-08,Unpaid,Per-Incident,2022-12-03,2024-12-02,EMP00027,2022-12-03,Active,21,Yes,15.0
