summary_id,employee_id,month_year,working_days,days_present,days_absent,days_wfh,late_arrivals,early_departures,overtime_hours,total_hours_logged,attendance_pct,leave_days_taken,loss_of_pay_days,department,shift,approved_by
ATTTBJX02CP,EMP00254,2024-03,23,16,7,7,0,0,5.4,133.4,69.6,3,2,Sales,Day,EMP00027
ATTWNM9YLVE,EMP00702,2024-10,21,15,-1,0,3,2,11.2,131.2,71.4,5,0,Legal,Day,EMP00034
ATTWQOWEYY1,EMP00601,2024-01,22,24,2,3,4,1,12.7,172.7,90.9,1,1,Legal,Day,EMP00029
ATTIJ8BZ5FY,EMP00036,2025-02,21,17,4,9,3,2,1.7,137.7,150.0,3,0,Legal,Day,EMP00006
ATT30ZWKSTQ,EMP00574,2023-01,22,21,1,6,1,1,11.4,179.4,95.5,0,2,Engineering,Day,EMP00030
ATTNIUH9TJH,EMP00030,2024-07,22,16,6,8,2,2,12.1,140.1,72.7,2,0,Finance,Day,EMP00043
ATTMWLGXI3M,EMP00245,2024-03,23,17,6,10,1,0,9.0,145.0,73.9,2,2,Legal,Day,EMP00049
ATTZ805UVTK,EMP00279,2023-03,20,15,5,4,4,0,13.0,133.0,75.0,4,0,Product,Day,EMP00013
ATTV8HVSKPE,EMP00293,2024-05,20,18,2,6,5,0,7.0,,90.0,1,2,Finance,Day,EMP00027
ATTGJ9HRQIH,,2024-07,22,20,2,1,5,2,18.7,178.7,90.9,2,1,Finance,Night,EMP00019
ATTO3ELJ2RB,EMP00618,2023-09,20,20,0,7,3,3,5.4,165.4,100.0,0,2,Marketing,Day,EMP00016
ATT0EK3KAPV,EMP00123,2024-10,22,26,0,9,0,3,2.6,178.6,100.0,0,2,Sales,Day,EMP00035
ATTJJ3VLRP6,EMP00204,2025-01,22,19,3,10,2,2,10.1,162.1,86.4,3,2,Marketing,Flexible,EMP00025
ATTBXGUJ0IK,EMP00359,2023-04,0,21,2,0,2,2,5.8,173.8,91.3,1,2,Finance,Night,EMP00001
ATT28NEBHYZ,EMP00075,2025-05,23,22,-1,6,1,1,5.1,181.1,95.7,0,1,Legal,Day,EMP00015
ATTSDH32QVS,EMP00405,2025-05,20,16,4,3,5,2,19.0,147.0,80.0,0,2,Sales,Day,EMP00041
ATTRRLRA30V,EMP00233,2024-04,22,21,1,2,5,3,2.0,170.0,95.5,0,0,Engineering,Flexible,EMP00044
ATTUYQENK1Z,EMP00542,2024-08,20,17,3,7,2,1,7.2,143.2,85.0,2,2,Finance,Day,EMP00042
ATTCC5CNDPV,EMP00375,2023-11,22,22,0,5,1,3,2.2,178.2,100.0,0,2,Finance,Night,EMP00013
ATTM2PK2XAH,EMP00760,2025-02,23,16,7,2,28,2,-5.0,145.6,69.6,2,2,Operations,Flexible,EMP00042
ATTY2PJYLWK,EMP00015,2024-11,20,24,4,9,3,0,0.9,128.9,80.0,4,0,Engineering,Day,EMP00033
ATT4QX8U0YS,EMP00206,2024-01,23,16,7,9,5,0,0.8,128.8,69.6,1,0,Finance,Day,EMP00014
ATTRC9DYSMH,EMP00342,2023-11,23,22,1,0,4,0,5.7,181.7,95.7,0,1,Sales,Day,EMP00028
ATTGGM5DSLI,EMP00135,2024-11,20,19,1,3,2,0,8.6,160.6,95.0,0,0,Marketing,Day,EMP00025
ATTPRVPN5BW,EMP00414,2024-12,21,19,2,9,3,0,2.6,154.6,90.5,0,0,Product,Day,EMP00025
ATT3FVNTTDV,EMP00310,2025-04,23,22,1,1,1,3,19.8,195.8,95.7,0,1,Engineering,Day,EMP00045
ATT3WE6NFGI,,2024-06,20,17,3,8,3,0,11.8,147.8,85.0,3,2,Operations,Day,EMP00030
ATTXVS971AO,EMP00481,2024-03,20,19,-1,0,1,0,16.3,168.3,95.0,0,1,Legal,Flexible,EMP00017
ATTJ23S6WQ8,EMP00576,2025-05,22,22,0,3,3,3,16.2,192.2,100.0,0,1,Marketing,Night,EMP00038
ATTX5UOZQ0D,EMP00145,2025-01,22,25,0,1,2,2,11.1,187.1,100.0,0,0,Finance,Day,EMP00035
ATTVC04DTMH,EMP00698,2024-05,23,15,8,1,0,3,2.7,122.7,65.2,3,1,Marketing,Day,EMP00050
ATT5NG66PA2,EMP00698,2023-11,22,20,2,10,2,1,5.2,165.2,150.0,2,1,Product,Day,EMP00049
ATTRWLIP81X,EMP00366,2023-04,23,18,5,4,0,0,17.0,161.0,78.3,3,1,Marketing,Flexible,EMP00045
ATTRRC2PKV6,EMP00736,2025-06,23,22,1,9,5,0,14.4,190.4,95.7,0,2,Marketing,Day,EMP00019
ATT1CRVJBXY,EMP00766,2023-11,22,18,4,5,3,2,8.7,152.7,81.8,1,0,Operations,Flexible,EMP00018
ATT7ZWYW1QG,EMP00003,2025-03,21,17,4,6,1,3,7.6,143.6,81.0,0,0,Finance,Day,EMP00042
ATTX1JI1IFQ,EMP00289,2025-04,22,21,1,10,5,0,11.0,179.0,95.5,0,1,Finance,Day,EMP00001
ATTJQ58U9BP,EMP00007,2023-11,22,21,1,7,5,0,1.3,169.3,95.5,0,1,Human Resources,Flexible,EMP00007
ATTXSZUPOHV,EMP00490,2025-01,23,26,3,1,3,2,8.0,168.0,87.0,1,0,Operations,Day,EMP00003
ATTSYCNFTWR,EMP00430,2024-04,23,21,2,5,5,0,14.2,182.2,91.3,2,0,Legal,Day,EMP00002
ATTDPY20764,EMP00311,2023-12,22,21,-1,10,3,0,11.2,179.2,95.5,0,2,Finance,Flexible,EMP00014
ATTY8WOLCPD,EMP00279,2023-11,22,22,0,10,3,0,-5.0,,100.0,0,1,Operations,Night,EMP00018
ATTEYE3IBCF,EMP00793,2023-08,20,17,3,1,5,3,18.7,154.7,85.0,3,2,Human Resources,Day,EMP00050
ATT42UJYXE6,,2023-02,20,15,5,6,3,3,7.5,127.5,75.0,1,1,Engineering,Day,EMP00024
ATT5WYUH5NJ,EMP00329,2025-05,21,19,2,8,1,0,3.9,155.9,90.5,2,1,Product,Flexible,EMP00045
ATT9VNYJW7E,EMP00313,2023-12,20,17,3,8,1,0,3.4,139.4,85.0,2,2,Product,Day,EMP00017
ATTC1SA72CT,EMP00568,2025-06,22,17,5,1,3,3,17.6,153.6,77.3,1,0,Engineering,Night,EMP00018
ATTDVXMN7H0,EMP00294,2023-10,20,25,0,0,3,2,1.4,161.4,100.0,0,2,Sales,Flexible,EMP00019
ATTTKCQBJ4Z,EMP00008,2024-11,23,22,1,5,1,2,9.0,185.0,95.7,1,0,Product,Night,EMP00004
ATTNFO2VUA5,EMP00012,2024-01,22,20,2,5,0,3,8.8,168.8,90.9,1,2,Operations,Day,EMP00038
ATTQ48F5BA0,EMP00788,2023-05,20,15,5,4,4,1,6.7,126.7,75.0,1,0,Product,Day,EMP00004
ATT4IZ5YF9G,EMP00536,2023-03,0,17,5,4,4,1,13.1,149.1,77.3,3,0,Sales,Day,EMP00029
ATTBKWXN489,EMP00412,2023-02,21,18,3,8,0,3,18.2,162.2,85.7,2,1,Marketing,Night,EMP00021
ATT9FV0RCBN,EMP00276,2024-03,20,17,-1,9,5,3,11.7,147.7,85.0,1,1,Product,Night,EMP00046
ATTGVA6S9CA,EMP00278,2024-06,20,19,1,4,5,3,10.2,162.2,95.0,0,2,Finance,Night,EMP00031
ATTKVI82Q8V,EMP00381,2023-01,22,18,4,2,4,0,10.6,154.6,81.8,2,0,Human Resources,Day,EMP00013
ATTF0VLU8LQ,EMP00585,2023-06,22,27,3,10,5,0,16.4,168.4,86.4,1,2,Human Resources,Day,EMP00001
ATTYZKM242W,EMP00148,2023-12,23,16,7,8,4,2,2.1,130.1,69.6,1,2,Product,Day,EMP00031
ATTK39V2298,EMP00195,2024-12,22,16,6,9,3,2,3.0,131.0,72.7,4,1,Finance,Day,EMP00029
ATT45IWXPTE,EMP00357,2024-12,21,20,1,8,4,2,5.7,165.7,150.0,0,1,Sales,Flexible,EMP00010
ATTQNMU1VBR,,2024-07,20,16,4,0,4,0,17.8,145.8,80.0,1,1,Operations,Day,EMP00039
ATTC98NOV6I,EMP00096,2023-06,22,22,0,10,4,2,11.3,187.3,100.0,0,2,Legal,Day,EMP00008
ATTXFG1VGEW,EMP00403,2025-05,20,19,1,4,0,2,9.6,161.6,95.0,1,0,Human Resources,Day,EMP00027
ATT6HF54O17,EMP00540,2024-03,21,15,6,8,26,1,-5.0,128.4,71.4,5,2,Human Resources,Day,EMP00046
ATTMS9RXPHY,EMP00364,2024-09,23,23,0,6,5,2,7.3,191.3,100.0,0,1,Operations,Day,EMP00013
ATT34N52UY1,EMP00427,2024-08,22,25,5,0,5,3,17.3,153.3,77.3,3,1,Marketing,Day,EMP00047
ATT0KY2U0GQ,EMP00637,2024-01,21,15,-1,5,0,0,3.9,123.9,71.4,0,0,Legal,Day,EMP00048
ATT8NAPGD6X,EMP00722,2025-06,21,20,1,4,1,2,2.2,162.2,95.2,1,0,Legal,Day,EMP00039
ATTBPNH1O0P,EMP00445,2023-03,21,17,4,1,2,2,2.8,138.8,81.0,1,0,Finance,Flexible,EMP00002
ATTJXJNFCMT,EMP00017,2023-10,23,17,6,3,2,0,17.4,153.4,73.9,3,2,Engineering,Day,EMP00041
ATT6RM783UB,EMP00166,2025-01,23,18,5,6,0,0,17.6,161.6,78.3,3,2,Marketing,Night,EMP00006
ATTX9NRAWX6,EMP00259,2023-08,23,18,5,3,0,3,13.8,157.8,78.3,1,1,Marketing,Day,EMP00035
ATT0CFC1QUS,EMP00123,2024-12,23,20,3,7,3,2,18.9,178.9,87.0,3,0,Operations,Day,EMP00025
ATTK6JQLIOA,EMP00379,2023-09,23,15,8,6,0,2,19.4,139.4,65.2,2,2,Operations,Day,EMP00039
ATTZQH2M3PA,EMP00046,2024-03,20,24,4,7,1,1,11.0,,80.0,3,0,Legal,Flexible,EMP00001
ATTRE8EZJ5N,EMP00114,2023-09,23,21,2,9,5,0,8.4,176.4,91.3,0,1,Product,Day,EMP00027
ATTOP7SG5RK,EMP00668,2023-02,21,16,5,6,0,3,0.5,128.5,76.2,2,0,Marketing,Day,EMP00023
ATTFOEKWTOK,,2024-08,22,17,5,9,2,1,5.8,141.8,77.3,2,2,Marketing,Day,EMP00023
ATT4Y64PZ9O,EMP00660,2023-05,23,17,6,6,5,0,5.8,141.8,73.9,4,1,Human Resources,Day,EMP00010
ATTM7J0EOSJ,EMP00232,2023-12,20,17,-1,2,2,3,8.1,144.1,85.0,0,1,Sales,Day,EMP00035
ATTJOZYWHO7,EMP00573,2024-05,21,20,1,10,3,0,0.2,160.2,95.2,0,1,Product,Day,EMP00047
ATTIFRNJ5OH,EMP00295,2023-07,23,16,7,1,4,3,8.3,136.3,69.6,0,1,Sales,Day,EMP00002
ATTXBQ7NYRS,EMP00366,2023-03,21,18,3,4,2,0,10.0,154.0,85.7,3,1,Product,Day,EMP00037
ATTMB96PNS5,EMP00475,2025-06,21,25,5,4,3,2,0.7,128.7,76.2,2,1,Marketing,Day,EMP00048
ATT1XCPFJU4,EMP00193,2025-02,23,19,4,5,0,3,8.4,160.4,82.6,4,0,Marketing,Flexible,EMP00032
ATTY0Q6ICMF,EMP00558,2023-01,23,16,7,3,5,0,-5.0,142.6,69.6,6,1,Marketing,Night,EMP00001
ATTRDEJLY9V,EMP00220,2025-03,21,20,1,8,3,3,19.8,179.8,95.2,1,0,Marketing,Day,EMP00038
ATTIVHQY3VH,EMP00541,2025-02,21,15,6,10,0,3,3.3,123.3,150.0,4,2,Sales,Flexible,EMP00018
ATTLIKQ5S1J,EMP00138,2023-12,22,20,2,5,4,0,18.9,178.9,90.9,0,0,Engineering,Flexible,EMP00022
ATTUOUO8O2O,EMP00011,2023-12,0,15,8,3,4,1,6.2,126.2,65.2,4,0,Marketing,Day,EMP00037
ATTQYJCO3AE,EMP00202,2023-02,23,22,1,7,1,3,1.4,177.4,95.7,1,0,Human Resources,Flexible,EMP00006
ATTA4Z2H8EL,EMP00419,2023-09,23,17,6,0,3,2,13.6,149.6,73.9,2,1,Finance,Day,EMP00011
ATT1RT6QBS7,EMP00789,2023-08,21,24,-1,2,4,1,5.5,149.5,85.7,0,2,Product,Flexible,EMP00038
ATTGKA3QKZE,EMP00045,2024-06,22,21,1,8,5,3,5.5,173.5,95.5,0,2,Engineering,Day,EMP00046
ATTTRY9NY2L,,2023-04,21,15,6,0,4,2,10.7,130.7,71.4,1,0,Product,Day,EMP00050
ATTMQBG869Q,EMP00563,2024-10,22,22,0,2,5,1,16.4,192.4,100.0,0,1,Legal,Day,EMP00043
ATTKYAQJUJZ,EMP00237,2023-09,22,21,1,7,3,2,0.3,168.3,95.5,1,2,Operations,Day,EMP00021
ATTIDZ1VSAN,EMP00651,2025-02,20,16,4,8,2,1,18.8,146.8,80.0,0,0,Sales,Day,EMP00004
ATTI8D06DCF,EMP00654,2023-10,21,15,6,6,4,0,10.0,130.0,71.4,4,0,Operations,Day,EMP00013
ATT6QB6I6EZ,EMP00552,2023-06,23,22,1,10,5,0,2.2,178.2,95.7,1,2,Sales,Day,EMP00033
ATTE50JOYE0,EMP00565,2024-03,23,17,6,1,0,3,4.4,140.4,73.9,6,1,Marketing,Day,EMP00013
ATT3Z7QVQBR,EMP00379,2023-07,22,25,3,3,4,0,5.9,157.9,86.4,0,1,Engineering,Day,EMP00034
ATTB4ANR7AB,EMP00226,2024-04,23,21,2,10,2,1,4.1,172.1,91.3,0,2,Operations,Night,EMP00006
ATTYD2PCROD,EMP00747,2024-05,20,19,1,6,0,0,1.7,153.7,95.0,0,1,Operations,Day,EMP00002
ATT49GUWHTP,EMP00320,2024-07,23,19,4,5,5,3,11.9,163.9,82.6,0,0,Human Resources,Day,EMP00005
ATT6TCATBDS,EMP00570,2023-03,22,21,-1,0,5,2,2.5,170.5,95.5,1,1,Engineering,Day,EMP00001
ATT0ZMAGM32,EMP00150,2025-06,21,19,2,4,4,2,13.1,165.1,90.5,2,2,Product,Flexible,EMP00048
ATTW22B2TGD,EMP00775,2025-02,21,17,4,10,26,0,-5.0,,81.0,1,1,Product,Day,EMP00049
ATTZ7N9HXJF,EMP00589,2023-03,20,17,3,1,4,2,13.6,149.6,85.0,2,0,Sales,Night,EMP00037
ATTITAPB8PE,EMP00718,2023-11,22,16,6,0,5,0,12.1,140.1,72.7,4,2,Human Resources,Night,EMP00035
ATTHOQURQPB,EMP00728,2023-09,21,23,3,7,5,3,2.9,146.9,85.7,2,2,Legal,Flexible,EMP00043
ATTG70BSQXB,,2023-05,23,17,6,3,5,3,3.2,139.2,73.9,4,2,Product,Day,EMP00011
ATTZUE0XSTY,EMP00506,2025-01,21,16,5,0,5,0,9.0,137.0,76.2,5,0,Finance,Night,EMP00003
ATTQB5W77F8,EMP00294,2025-06,22,16,6,9,2,3,1.5,129.5,72.7,6,2,Sales,Flexible,EMP00015
ATTD8U9IOU3,EMP00526,2023-07,23,19,4,6,3,0,9.5,161.5,82.6,0,2,Engineering,Day,EMP00020
ATTKCMUZZ7X,EMP00038,2023-11,23,16,7,1,1,1,9.8,137.8,150.0,3,2,Sales,Night,EMP00004
ATTWF4HLABL,EMP00546,2024-01,22,18,4,2,4,3,17.4,161.4,81.8,3,0,Sales,Flexible,EMP00016
ATTZNVY54SQ,EMP00271,2023-10,20,20,0,4,2,2,19.9,179.9,100.0,0,2,Human Resources,Night,EMP00037
ATTT0I3COE9,EMP00310,2023-09,21,21,-1,6,1,1,5.6,173.6,100.0,0,0,Product,Day,EMP00011
ATTPDR9ED58,EMP00673,2024-09,23,27,8,3,1,2,3.1,123.1,65.2,1,2,Legal,Flexible,EMP00039
ATTU02HFEWB,EMP00233,2025-02,23,23,0,8,1,0,2.9,186.9,100.0,0,2,Operations,Day,EMP00034
ATT0E53XM22,EMP00757,2023-02,22,15,7,0,3,1,8.7,128.7,68.2,2,1,Sales,Day,EMP00010
ATT9BMK8VM1,EMP00734,2024-11,22,17,5,7,2,3,6.5,142.5,77.3,2,0,Product,Night,EMP00026
ATT1FQ25KWI,EMP00668,2023-03,22,18,4,8,4,2,2.0,146.0,81.8,3,0,Marketing,Day,EMP00007
ATTYASXN7JK,EMP00548,2024-08,20,20,0,8,5,1,6.3,166.3,100.0,0,1,Sales,Day,EMP00026
ATT6WGOVJ8R,EMP00306,2024-01,20,15,5,7,0,1,8.1,128.1,75.0,5,1,Sales,Flexible,EMP00047
ATTQ9L4EWK3,EMP00459,2023-03,23,20,3,8,1,0,19.4,179.4,87.0,0,2,Marketing,Night,EMP00006
ATTI34TC4HJ,EMP00720,2025-04,0,20,0,6,3,3,10.5,170.5,100.0,0,1,Operations,Day,EMP00029
ATTTVFVBQXG,,2024-03,23,27,1,1,1,3,3.4,179.4,95.7,0,0,Legal,Day,EMP00003
ATTE6PDNRYE,EMP00480,2024-04,21,19,2,9,0,3,-5.0,158.5,90.5,2,2,Finance,Night,EMP00050
ATT1MMG165I,EMP00548,2024-05,21,15,6,2,4,1,6.0,126.0,71.4,6,2,Human Resources,Day,EMP00005
ATTF07WCWH8,EMP00275,2024-12,22,20,-1,9,5,3,10.6,170.6,90.9,2,0,Product,Night,EMP00011
ATTRRU2Y5TI,EMP00028,2023-05,21,17,4,1,2,1,11.5,147.5,81.0,3,0,Engineering,Day,EMP00033
ATTTCUYXIZ7,EMP00590,2024-09,21,16,5,5,4,3,6.0,134.0,76.2,4,2,Product,Flexible,EMP00047
ATTDZKEA2NB,EMP00704,2023-03,21,17,4,6,2,2,4.9,140.9,81.0,4,2,Sales,Day,EMP00049
ATT2CE3XIA3,EMP00595,2023-09,20,16,4,1,0,2,10.8,138.8,80.0,0,0,Sales,Day,EMP00028
ATT9UAHV78Q,EMP00579,2024-05,21,20,1,10,5,1,19.2,179.2,95.2,0,1,Operations,Day,EMP00001
ATTZ57DNZV8,EMP00006,2024-03,22,27,2,8,3,0,2.0,162.0,90.9,1,2,Legal,Night,EMP00028
ATTDFH44KS0,EMP00721,2023-01,20,19,1,10,2,2,15.3,167.3,95.0,1,2,Marketing,Day,EMP00040
ATTDPGU8ITJ,EMP00504,2025-06,21,18,3,0,0,1,11.4,155.4,85.7,2,2,Sales,Day,EMP00026
ATTIDV8FMIF,EMP00634,2023-10,23,21,2,2,0,1,12.0,,91.3,2,1,Human Resources,Day,EMP00014
ATTW7925RUF,EMP00613,2023-02,22,16,6,3,5,3,11.5,139.5,72.7,0,1,Engineering,Day,EMP00006
ATT166C4KRF,EMP00119,2024-12,21,18,3,7,4,3,5.4,149.4,85.7,1,1,Finance,Day,EMP00021
ATTKWJLQZS9,EMP00715,2023-10,22,21,1,6,0,3,0.3,168.3,150.0,1,2,Legal,Day,EMP00042
ATTLO5GPYSO,EMP00447,2024-09,22,17,-1,9,0,2,8.4,144.4,77.3,2,0,Human Resources,Day,EMP00050
ATTR965WTRU,,2025-04,20,16,4,3,1,3,12.3,140.3,80.0,1,0,Operations,Day,EMP00012
ATT6RDW9MXX,EMP00589,2023-06,21,24,0,7,0,3,7.5,175.5,100.0,0,1,Operations,Night,EMP00042
ATT8OD64IXV,EMP00173,2023-06,23,19,4,9,3,0,4.4,156.4,82.6,0,1,Product,Day,EMP00020
ATTG1AEZ8TY,EMP00685,2024-08,22,17,5,7,1,3,3.9,139.9,77.3,5,2,Marketing,Flexible,EMP00024
ATT6T5ADQA9,EMP00463,2023-12,20,17,3,4,0,3,15.2,151.2,85.0,3,0,Sales,Flexible,EMP00018
ATTCEDKESOA,EMP00251,2024-07,22,19,3,5,0,2,14.6,166.6,86.4,1,0,Finance,Flexible,EMP00038
ATTD1D5U4P6,EMP00775,2023-04,23,22,1,0,28,1,-5.0,182.9,95.7,1,0,Operations,Day,EMP00040
ATTPOD2YRYP,EMP00673,2024-05,20,15,5,0,4,0,3.1,123.1,75.0,3,1,Human Resources,Night,EMP00027
ATT89UVHHKE,EMP00418,2025-06,21,15,6,3,4,2,19.4,139.4,71.4,1,1,Marketing,Night,EMP00018
ATT0GNWF6ZL,EMP00034,2024-08,23,22,1,3,3,1,4.2,180.2,95.7,0,1,Finance,Flexible,EMP00041
ATT3ORI43D4,EMP00788,2024-08,21,23,1,8,2,2,12.6,172.6,95.2,1,2,Finance,Flexible,EMP00025
ATT3AVSSXTW,EMP00251,2024-09,21,17,4,3,5,2,15.6,151.6,81.0,4,0,Finance,Night,EMP00044
ATTRD39QKB0,EMP00580,2024-11,23,22,-1,10,5,0,7.2,183.2,95.7,0,1,Finance,Day,EMP00039
ATTTSWYEYF4,EMP00319,2024-02,22,19,3,3,4,0,11.3,163.3,86.4,2,1,Sales,Flexible,EMP00033
ATTDEA1EL5R,EMP00121,2024-07,22,17,5,9,0,3,6.4,142.4,77.3,2,0,Product,Day,EMP00027
ATTF3Y7F2W3,EMP00206,2024-07,21,17,4,1,1,0,0.8,136.8,81.0,1,2,Finance,Day,EMP00045
ATTOT09ECZ2,EMP00334,2024-08,21,19,2,2,0,2,17.4,169.4,90.5,2,2,Sales,Day,EMP00032
ATTSBYFVAMO,,2023-12,23,15,8,1,3,1,2.2,122.2,65.2,6,0,Sales,Flexible,EMP00014
ATT9VYGV2J3,EMP00612,2024-04,23,23,0,6,3,1,18.3,202.3,100.0,0,1,Operations,Day,EMP00049
ATTD8WZI269,EMP00652,2024-08,21,24,1,5,1,2,8.9,168.9,95.2,1,1,Operations,Night,EMP00033
ATTRIZEB7DV,EMP00689,2023-02,0,20,2,1,3,3,14.4,174.4,90.9,1,0,Engineering,Day,EMP00043
ATT91JSGVK2,EMP00689,2024-04,21,21,0,7,0,0,9.5,177.5,100.0,0,0,Sales,Night,EMP00003
ATTUYN69QOA,EMP00362,2023-02,22,19,3,7,0,3,18.5,170.5,86.4,0,0,Marketing,Day,EMP00016
ATTWMTL8E8B,EMP00552,2024-12,22,18,4,10,2,3,14.4,158.4,81.8,0,2,Sales,Day,EMP00020
ATT3KXZWVXD,EMP00548,2025-01,23,21,2,0,1,0,15.7,183.7,91.3,0,0,Finance,Flexible,EMP00040
ATT75C7M3EM,EMP00756,2023-09,23,18,-1,3,4,3,7.1,151.1,78.3,1,0,Marketing,Day,EMP00016
ATTWQCO1MHC,EMP00283,2023-09,22,16,6,3,0,2,19.7,147.7,150.0,5,0,Sales,Flexible,EMP00018
ATTLO4N8CZ2,EMP00579,2025-05,21,19,2,2,0,2,10.3,162.3,90.5,0,0,Marketing,Night,EMP00014
ATT7TCS7FS7,EMP00243,2024-09,23,28,1,6,1,1,-5.0,,95.7,0,2,Operations,Flexible,EMP00034
ATTOYGEC65K,EMP00364,2023-04,23,20,3,0,4,2,0.8,160.8,87.0,2,0,Marketing,Flexible,EMP00041
ATTN0D1ZX19,EMP00342,2025-06,23,20,3,1,2,0,7.0,167.0,87.0,0,1,Engineering,Day,EMP00008
ATTV1LYZZLF,EMP00372,2023-08,21,17,4,1,1,3,6.2,142.2,81.0,2,2,Legal,Day,EMP00008
ATT6QSI4TUO,EMP00555,2023-07,20,20,0,6,0,1,11.8,171.8,100.0,0,0,Finance,Day,EMP00016
ATTU4YGRU09,EMP00436,2024-05,22,15,7,3,2,2,1.7,121.7,68.2,7,1,Sales,Night,EMP00007
ATTTRD83R6D,,2025-01,21,20,1,4,3,0,9.9,169.9,95.2,1,0,Product,Day,EMP00008
ATT3IH0KA9M,EMP00168,2025-05,21,19,2,10,4,3,12.8,164.8,90.5,1,2,Operations,Night,EMP00032
ATT07I9RIVH,EMP00130,2023-09,22,20,2,8,5,0,2.6,162.6,90.9,2,2,Operations,Night,EMP00015
ATTWMN81C0G,EMP00702,2023-03,21,23,0,4,2,2,19.3,187.3,100.0,0,1,Operations,Day,EMP00013
ATTBYAO9HZA,EMP00448,2023-10,20,19,-1,4,3,2,2.4,154.4,95.0,1,0,Engineering,Day,EMP00050
ATTW70DS4S3,EMP00607,2024-02,21,20,1,4,0,0,19.0,179.0,95.2,0,2,Marketing,Day,EMP00027
ATT6UUAPULM,EMP00790,2023-03,23,16,7,9,5,0,9.8,137.8,69.6,2,1,Product,Day,EMP00048
ATTAOORDPNU,EMP00609,2023-10,23,18,5,9,1,2,17.3,161.3,78.3,3,2,Marketing,Day,EMP00040
ATTF4AK474I,EMP00324,2023-03,23,15,8,6,1,1,15.1,135.1,65.2,1,1,Product,Flexible,EMP00039
ATTL9COI2X2,EMP00691,2023-01,22,21,1,7,1,1,15.3,183.3,95.5,0,0,Engineering,Night,EMP00039
ATTSV45VHBH,EMP00278,2023-12,20,16,4,9,5,2,5.5,133.5,80.0,3,1,Marketing,Day,EMP00037
