payment_id,order_id,customer_id,payment_method,payment_amount,payment_date,payment_status,currency,transaction_ref,gateway
PAY200021,ORD101007,CUST00110,Cash on Delivery,2143.53,2022-04-28,Failed,INR,WTEJTUIN748A,Square
PAY200022,ORD100366,CUST00192,Bank Transfer,196.46,2023-01-05,INVALID_STATUS,SGD,2A96GORCPACQ,Stripe
PAY200023,ORD100442,CUST00826,Debit Card,4989.07,2024-03-30,Refunded,USD,5Y7KHG4G7NIE,Paytm
PAY200024,ORD100327,CUST00577,Net Banking,1429.25,2024-06-27,Pending,SGD,AIU01LC5WW9L,Adyen
PAY200025,ORD101236,CUST00225,Debit Card,3703.89,2023-04-06,Refunded,INR,9RTD6ENMB9UP,Razorpay
PAY200026,ORD100881,CUST00736,Bank Transfer,2127.92,2024-03-20,Failed,INR,QFXMHRWWNQA4,Paytm
PAY200027,ORD100617,CUST00836,UPI,63.81,2024-10-11,Refunded,USD,GTX7U4GBGCN3,PayPal
PAY200028,ORD100487,CUST00635,,211.24,2023-06-15,Completed,SGD,I6MGHAGMB362,PayPal
PAY200029,ORD100121,CUST00117,UPI,3110.05,2023-04-09,Failed,GBP,2YB4U33K2W1I,Razorpay
PAY200030,ORD100603,CUST00871,PayPal,-1269.13,2022-12-01,Refunded,INR,ATM0TXE321D5,Stripe
PAY200031,ORD100909,CUST00799,Net Banking,1700.03,2025-05-10,Failed,SGD,VECF8OCQVKCA,Razorpay
PAY200032,ORD101219,CUST00794,PayPal,4341.47,2022-07-10,Pending,AED,M9DEOCIRIO74,PayPal
PAY200033,ORD100969,CUST00327,Bank Transfer,798.17,2024-11-07,Refunded,XYZ,N6FAWE3IAVX5,PayPal
PAY200034,ORD100645,CUST00896,Debit Card,730.27,2022-05-06,Pending,USD,CY4MLJZFUDI4,Square
PAY200035,ORD100904,CUST00497,Bank Transfer,4590.76,2024-08-02,Pending,GBP,Q9N04FDTZJ2L,Square
PAY200036,ORD100224,CUST00605,UPI,942.65,2022-01-16,Refunded,AED,BRNU851V9PD5,Stripe
PAY200037,ORD100339,CUST00349,Bank Transfer,2362.99,2025-01-16,Failed,AED,J5MS20T3T9LP,Paytm
PAY200038,ORD100276,CUST00415,Bank Transfer,3953.25,2022-02-06,Failed,AED,RX2N75WLN2OT,Razorpay
PAY200039,ORD100375,CUST00891,PayPal,1784.3,2022-08-06,Pending,GBP,0XWG5KGOVJGA,Razorpay
PAY200040,ORD_GHOST_12,CUST00167,Credit Card,-1266.14,2023-07-15,Failed,SGD,UV2VXO3PEOJ3,PayPal
PAY200041,ORD100107,CUST00595,Debit Card,1838.47,2023-02-02,Completed,AED,4XAIC0DHNHWE,PayPal
PAY200042,ORD100949,CUST00096,,479.88,2025-04-27,Refunded,USD,,Paytm
PAY200043,ORD100892,CUST00892,Debit Card,692.51,2023-07-31,Failed,USD,ALQHPQPFIE95,Paytm
PAY200044,ORD100234,CUST00013,UPI,3232.42,2025-06-18,INVALID_STATUS,USD,8K7ZOJ3E0QQX,Paytm
PAY200045,ORD101071,CUST00371,Cash on Delivery,2409.21,2024-05-10,Completed,AED,4HJKWBJPCLMS,Paytm
PAY200046,ORD100040,CUST00089,PayPal,4187.67,2024-10-09,Pending,INR,KG5KHL1CRHM2,Razorpay
PAY200047,ORD101026,CUST00844,Net Banking,1974.17,2023-06-08,Completed,INR,MKT0N1PUKQHP,Adyen
PAY200048,ORD100545,CUST00065,PayPal,3281.54,2022-01-07,Failed,INR,SM5R7GOKLVA2,Square
PAY200049,ORD100451,CUST00489,Bank Transfer,2691.47,2023-06-21,Refunded,USD,K4W0KQ8SJQON,Square
PAY200050,ORD100924,CUST00864,Net Banking,-3276.53,2023-12-21,Failed,AED,4E51O762NKYS,Square
PAY200051,ORD101247,CUST00585,Debit Card,216.11,2022-05-03,Refunded,AED,7G4ASMZX4NKI,Paytm
PAY200052,ORD100877,CUST00035,Debit Card,1720.43,2022-03-16,Pending,AED,JPSHOXXAOZ5E,Razorpay
PAY200053,ORD100374,CUST00753,Cash on Delivery,957.88,2024-04-20,Refunded,SGD,X1W1QXPH1Y3B,Paytm
PAY200054,ORD100420,CUST00587,Bank Transfer,2102.81,2023-09-16,Pending,SGD,Y5SRO0L9LAYK,Razorpay
PAY200055,ORD100284,CUST00849,Credit Card,633.84,2024-07-21,Failed,SGD,PZC5YPOH41OF,Adyen
PAY200056,ORD100030,CUST00486,,998.71,2025-04-03,Pending,SGD,4C937RUPL5H2,Paytm
PAY200057,ORD100185,CUST00469,PayPal,3700.81,2022-01-13,Refunded,GBP,VGVFHZT8I5YI,PayPal
PAY200058,ORD100619,CUST00704,Bank Transfer,4948.36,2025-05-16,Completed,USD,K1VPANGW3PAJ,Square
PAY200059,ORD101086,CUST00167,Debit Card,4795.02,2023-07-11,Failed,INR,3Z2Y3C0EQ4AW,Adyen
PAY200060,ORD_GHOST_4,CUST00680,UPI,-1147.88,2022-08-22,Completed,USD,N45U0F4SLHQB,Paytm
PAY200061,ORD100111,CUST00614,Bank Transfer,4887.77,2024-04-24,Failed,USD,QBBWBX54QOTV,Paytm
PAY200062,ORD101126,CUST00179,Cash on Delivery,3273.85,2023-08-30,Failed,SGD,L8XAFSUMUXQJ,Stripe
PAY200063,ORD100858,CUST00553,Bank Transfer,60.8,2025-04-28,Completed,SGD,5ND2OEUT4IEC,Razorpay
PAY200064,ORD100862,CUST00200,UPI,3378.96,2023-06-26,Failed,INR,LVWGJ9Y56CA0,Adyen
PAY200065,ORD101347,CUST00147,Debit Card,1526.37,2024-02-05,Refunded,SGD,AD78QIG6UO3Z,Razorpay
PAY200066,ORD101249,CUST00386,Credit Card,3262.67,2024-07-08,INVALID_STATUS,XYZ,IL46LMI1J1Z3,PayPal
PAY200067,ORD100570,CUST00696,Cash on Delivery,130.53,2023-05-13,Refunded,GBP,46TE5U9IN7OF,Razorpay
PAY200068,ORD100260,CUST00237,Net Banking,2168.04,2024-02-20,Refunded,SGD,18OVEUUR656E,Stripe
PAY200069,ORD100525,CUST00191,Debit Card,3043.92,2024-03-03,Pending,AED,UENO88UOGMVV,Square
PAY200070,ORD101346,CUST00841,,-813.88,2025-05-20,Pending,INR,LTR9UQRVN2AE,PayPal
PAY200071,ORD101075,CUST00177,PayPal,291.84,2023-05-31,Pending,USD,LV09VFEAACKX,Adyen
PAY200072,ORD100955,CUST00409,Bank Transfer,776.63,2025-06-17,Completed,GBP,0X450UHEH3RF,Adyen
PAY200073,ORD101113,CUST00482,PayPal,705.36,2025-04-26,Refunded,GBP,3NF27E6L8XCG,PayPal
PAY200074,ORD100475,CUST00032,Net Banking,2872.63,2024-09-19,Refunded,SGD,7D7UWE773T93,Adyen
PAY200075,ORD100757,CUST00412,Credit Card,2693.04,2022-01-09,Refunded,GBP,I7QODSU9F16X,PayPal
PAY200076,ORD100013,CUST00318,Net Banking,1277.15,2023-09-22,Failed,USD,ZL8XRW4DBRHG,Paytm
PAY200077,ORD100716,CUST00064,Cash on Delivery,1167.49,2022-06-26,Pending,USD,FMW4VCHRHBKG,PayPal
PAY200078,ORD100635,CUST00282,PayPal,4240.81,2023-08-10,Completed,GBP,RA0T51LC8A4O,Stripe
PAY200079,ORD101245,CUST00074,Bank Transfer,3942.82,2022-03-11,Failed,USD,RIX5VCMGJVC2,Square
PAY200080,ORD_GHOST_0,CUST00353,Bank Transfer,-1764.27,2022-06-11,Completed,GBP,6QJ2ONVEOX3A,PayPal
PAY200081,ORD100023,CUST00602,Bank Transfer,1266.86,2022-01-26,Failed,GBP,6EJA1V2TG2AH,Paytm
PAY200082,ORD100806,CUST00788,Debit Card,843.58,2022-03-23,Failed,SGD,TYK80XTAOFZD,Paytm
PAY200083,ORD100578,CUST00709,Debit Card,2214.78,2025-05-14,Pending,INR,MPH7VQJA6614,Paytm
PAY200084,ORD100087,CUST00518,,3613.18,2025-05-24,Refunded,USD,,Razorpay
PAY200085,ORD101394,CUST00877,Net Banking,4556.82,2024-03-09,Completed,USD,MJMBFOGEVOKQ,Adyen
PAY200086,ORD101376,CUST00163,Debit Card,776.36,2023-10-05,Refunded,USD,R8NKRZ25YYEX,Razorpay
PAY200087,ORD100163,CUST00455,Net Banking,3766.04,2023-08-16,Completed,SGD,U0UP229EOIZU,Stripe
PAY200088,ORD100744,CUST00238,Bank Transfer,4882.3,2022-10-10,INVALID_STATUS,USD,0KERTQHNOL3O,Stripe
PAY200089,ORD100811,CUST00406,UPI,1231.59,2022-01-18,Completed,INR,05DWJATE4VV9,Stripe
PAY200090,ORD100485,CUST00655,Debit Card,-192.62,2024-01-18,Completed,SGD,JFH71UZN4U38,Stripe
PAY200091,ORD100101,CUST00639,Credit Card,3597.21,2024-05-31,Pending,AED,M3RKL39VEL08,PayPal
PAY200092,ORD100584,CUST00338,Credit Card,1164.39,2022-07-05,Completed,SGD,ETOWTK4KL9FG,Adyen
PAY200093,ORD100759,CUST00153,Net Banking,660.57,2025-06-16,Completed,GBP,ZNI3DPFTBAQX,Paytm
PAY200094,ORD100831,CUST00017,Cash on Delivery,698.86,2023-12-25,Completed,GBP,SANHAPYWDRDP,PayPal
PAY200095,ORD101078,CUST00451,Debit Card,2881.8,2024-02-04,Pending,GBP,KHVLUCNJ0HYL,Paytm
PAY200096,ORD101195,CUST00056,Credit Card,1630.62,2024-07-31,Completed,SGD,WTP0KZUPNEI5,Adyen
PAY200097,ORD101243,CUST00507,Net Banking,1356.02,2025-02-19,Refunded,SGD,8NQ189Y42DJ4,Adyen
PAY200098,ORD100205,CUST00578,,968.76,2022-02-22,Failed,AED,RH4FZZHYH9OJ,Razorpay
PAY200099,ORD101148,CUST00137,Cash on Delivery,1644.69,2022-12-02,Refunded,XYZ,N4XJP7WZITMF,Razorpay
PAY200100,ORD_GHOST_3,CUST00703,Credit Card,-952.69,2025-03-24,Failed,USD,CWI2SKHKXVS6,Stripe
PAY200101,ORD101377,CUST00495,Cash on Delivery,1690.43,2023-10-20,Completed,GBP,4YEO6PPYWH8E,Stripe
PAY200102,ORD100805,CUST00808,Debit Card,1457.51,2023-05-19,Pending,INR,1PW26RQH7O0Z,Stripe
PAY200103,ORD100815,CUST00412,Credit Card,4646.47,2024-09-06,Refunded,USD,HNI2MLW2EK0B,Paytm
PAY200104,ORD100609,CUST00746,UPI,315.55,2024-10-12,Completed,AED,R1SPPN74PF4I,Paytm
PAY200105,ORD100390,CUST00825,Bank Transfer,2566.37,2024-01-01,Refunded,GBP,80KQLRVD79ZU,Paytm
PAY200106,ORD101176,CUST00859,Cash on Delivery,2731.33,2023-07-23,Completed,GBP,VZPVWLL5V2H3,Paytm
PAY200107,ORD100607,CUST00222,PayPal,681.42,2023-04-01,Failed,AED,DDZV7TXX6LK7,Razorpay
PAY200108,ORD100515,CUST00017,Debit Card,70.21,2022-05-30,Refunded,AED,095EGVT67K37,Razorpay
PAY200109,ORD100698,CUST00408,Bank Transfer,3589.91,2024-10-29,Refunded,USD,41S6EQXXCX9K,Paytm
PAY200110,ORD101069,CUST00051,Bank Transfer,-1952.88,2022-06-07,INVALID_STATUS,GBP,UNL0UT5JAYSY,Square
PAY200111,ORD100551,CUST00581,Debit Card,3886.47,2024-03-03,Pending,USD,44QH2BTUFDOA,Paytm
PAY200112,ORD100660,CUST00365,,4509.3,2024-07-09,Refunded,GBP,LXSOL15M9GQJ,Stripe
PAY200113,ORD100107,CUST00396,PayPal,2642.69,2023-11-23,Refunded,SGD,4KCCNJDGJKCS,Square
PAY200114,ORD100967,CUST00304,Debit Card,74.44,2023-02-18,Refunded,SGD,9A14350Q8OBW,PayPal
PAY200115,ORD100315,CUST00218,Credit Card,2587.84,2024-04-22,Pending,USD,2LBWTBV50HYA,Paytm
PAY200116,ORD101306,CUST00068,PayPal,4127.18,2024-09-01,Refunded,SGD,5EJ9TDNVSK6Q,PayPal
PAY200117,ORD100773,CUST00770,PayPal,3471.94,2023-09-05,Completed,SGD,LX8UY5VWTF9A,Adyen
PAY200118,ORD101263,CUST00257,Cash on Delivery,1387.81,2022-04-01,Pending,USD,MT9FSV5Q4FIU,Paytm
PAY200119,ORD101361,CUST00471,Net Banking,2382.27,2024-12-26,Refunded,GBP,V8ELSPJ6SFAS,Adyen
PAY200120,ORD_GHOST_2,CUST00860,Cash on Delivery,-3051.55,2024-11-30,Refunded,SGD,3JUFXH8P0MTZ,PayPal
PAY200121,ORD100339,CUST00471,UPI,2128.95,2024-09-11,Pending,USD,4PZNGVXXYN9T,Stripe
PAY200122,ORD100959,CUST00554,Cash on Delivery,2528.23,2023-08-27,Pending,AED,33UOT477IQFX,Stripe
PAY200123,ORD100922,CUST00640,Credit Card,2537.81,2025-04-01,Pending,INR,IYUB31P35ZWQ,Adyen
PAY200124,ORD101130,CUST00288,PayPal,4059.1,2024-07-03,Failed,GBP,C2PLHS95TWBQ,Razorpay
PAY200125,ORD100947,CUST00527,Credit Card,378.23,2025-04-09,Failed,AED,VUKSVZOOTSTP,Razorpay
PAY200126,ORD101075,CUST00024,,4313.16,2022-02-04,Refunded,AED,,Stripe
PAY200127,ORD100316,CUST00581,PayPal,3252.85,2025-01-10,Refunded,USD,SE3XR6N18BEQ,Razorpay
PAY200128,ORD100449,CUST00493,PayPal,3907.71,2025-04-22,Pending,AED,T6I6S7PK67IL,Paytm
PAY200129,ORD101005,CUST00336,Net Banking,2328.2,2025-06-11,Pending,INR,MYARIDG26HLM,Stripe
PAY200130,ORD101395,CUST00865,Bank Transfer,-3849.78,2024-06-20,Completed,GBP,EDRV5IJ3JL9T,Stripe
PAY200131,ORD100156,CUST00319,Credit Card,366.26,2024-09-16,Completed,INR,7924HTPL131V,Adyen
PAY200132,ORD100076,CUST00597,PayPal,3212.41,2024-07-11,INVALID_STATUS,XYZ,B5I92WMSJ9UK,Razorpay
PAY200133,ORD100866,CUST00744,Cash on Delivery,4288.31,2023-09-03,Completed,USD,P7WR1SHEURQ7,Square
PAY200134,ORD101370,CUST00151,Credit Card,3329.6,2023-04-24,Refunded,SGD,1HBUDU7XX9IG,Stripe
PAY200135,ORD100769,CUST00876,Credit Card,4963.69,2024-02-03,Failed,GBP,TU2AQHKNQJGE,Adyen
PAY200136,ORD101294,CUST00587,Bank Transfer,1815.85,2023-08-04,Completed,AED,J77ECAAFFSDU,Stripe
PAY200137,ORD101322,CUST00855,Debit Card,4716.82,2022-07-22,Failed,GBP,YN6ZJUY3K0E3,Razorpay
PAY200138,ORD101097,CUST00415,Debit Card,1478.65,2023-05-10,Completed,INR,P4M7B0VZGUGN,Paytm
PAY200139,ORD100252,CUST00615,Net Banking,3743.96,2024-04-30,Refunded,USD,A906K37E4EY9,PayPal
PAY200140,ORD_GHOST_9,CUST00603,,-2743.88,2022-05-29,Refunded,AED,T6RWARQCFK3E,PayPal
PAY200141,ORD100055,CUST00632,Cash on Delivery,862.81,2023-05-18,Failed,USD,Q46PL5NBTI1N,Stripe
PAY200142,ORD101162,CUST00599,Bank Transfer,3922.36,2024-01-01,Refunded,SGD,WM1XRP4JDVA7,Square
PAY200143,ORD100662,CUST00003,UPI,4865.37,2023-11-17,Completed,INR,32JKY5OFTTUK,Razorpay
PAY200144,ORD100478,CUST00068,UPI,1300.82,2024-01-10,Refunded,USD,NRUHMEZVSQ3H,Razorpay
PAY200145,ORD100016,CUST00297,UPI,119.12,2023-10-22,Pending,AED,RPDGZ2SC0T8D,Razorpay
PAY200146,ORD101192,CUST00087,UPI,1656.63,2022-05-13,Pending,AED,ROW8A2CQBYWL,PayPal
PAY200147,ORD100263,CUST00339,Net Banking,3816.88,2022-04-19,Completed,INR,53XI3C7G0ABG,Stripe
PAY200148,ORD100378,CUST00515,Bank Transfer,2187.1,2023-11-18,Failed,USD,Y6EKDKFORDCL,Square
PAY200149,ORD101159,CUST00146,Net Banking,144.51,2024-04-02,Pending,INR,4SE4KBL5VGGN,Razorpay
PAY200150,ORD101341,CUST00029,Cash on Delivery,-523.25,2025-06-11,Completed,USD,EHTHUGXNS8EH,Razorpay
PAY200151,ORD101224,CUST00261,Bank Transfer,1710.9,2024-04-23,Failed,GBP,EKSK2VPAJSPJ,Adyen
PAY200152,ORD100111,CUST00748,Debit Card,4060.69,2024-01-01,Refunded,AED,WR63JUWMW3M4,Stripe
PAY200153,ORD100685,CUST00705,Net Banking,928.94,2024-02-25,Failed,GBP,UCR68NIXC6OD,Paytm
PAY200154,ORD100756,CUST00225,,1283.61,2025-04-06,INVALID_STATUS,INR,KP9J1PLIHUY7,Razorpay
PAY200155,ORD101298,CUST00785,Bank Transfer,2904.1,2023-11-26,Pending,INR,K5Z9RVKMCX5Z,Paytm
PAY200156,ORD100402,CUST00763,UPI,3145.22,2023-04-05,Failed,INR,7KTSPYA2OTKQ,Adyen
PAY200157,ORD100484,CUST00631,Cash on Delivery,3061.67,2025-01-23,Completed,AED,D4YSD6SHQBA3,Paytm
PAY200158,ORD100267,CUST00389,Cash on Delivery,341.71,2022-12-07,Completed,USD,JW386A6NJHEE,PayPal
PAY200159,ORD100815,CUST00803,Cash on Delivery,1022.47,2023-09-02,Refunded,AED,GX409WNZMO7G,Stripe
PAY200160,ORD_GHOST_7,CUST00143,Cash on Delivery,-3752.85,2025-04-13,Failed,USD,H3J4CYGO6ZUD,Paytm
PAY200161,ORD100924,CUST00689,Debit Card,176.6,2025-02-01,Pending,GBP,HDDOG2UE1IV0,Stripe
PAY200162,ORD100166,CUST00200,UPI,1170.79,2023-07-12,Pending,AED,7PR28J2K3TYD,Stripe
PAY200163,ORD100145,CUST00886,Debit Card,2199.09,2025-05-14,Completed,USD,96DO9UZXCA4X,Razorpay
PAY200164,ORD100079,CUST00155,Cash on Delivery,2671.7,2024-05-04,Refunded,USD,OTB85VIF81J6,PayPal
PAY200165,ORD100619,CUST00567,Credit Card,1342.61,2022-11-16,Pending,XYZ,HPZUYR7VHTCL,Paytm
PAY200166,ORD100202,CUST00876,Cash on Delivery,3524.36,2022-06-26,Refunded,USD,HEZUL4AE6YA8,Square
PAY200167,ORD101137,CUST00823,Credit Card,3293.26,2023-08-16,Completed,INR,4QWL67C7HP4N,Paytm
PAY200168,ORD100603,CUST00881,,2172.08,2025-05-24,Pending,SGD,,PayPal
PAY200169,ORD100581,CUST00899,Credit Card,287.03,2023-05-02,Failed,INR,LOX8GCT3M9GX,Adyen
PAY200170,ORD100638,CUST00077,UPI,-59.98,2024-01-15,Refunded,USD,7QTZJS6PVS9V,Stripe
PAY200171,ORD100062,CUST00379,Net Banking,574.54,2023-11-29,Refunded,GBP,77HNS54GWDFO,Adyen
PAY200172,ORD100740,CUST00415,Net Banking,1866.44,2023-06-15,Completed,AED,ABK97EI9NX85,PayPal
PAY200173,ORD100082,CUST00807,Cash on Delivery,3517.15,2024-06-30,Completed,USD,AW3OVY92DEFQ,Razorpay
PAY200174,ORD100393,CUST00514,UPI,3614.57,2022-09-07,Pending,INR,ITGUKTQ5SMVV,Stripe
PAY200175,ORD100002,CUST00280,UPI,506.73,2025-02-09,Refunded,SGD,2I6DEIY38LL2,Paytm
PAY200176,ORD100298,CUST00169,PayPal,3842.41,2024-12-22,INVALID_STATUS,USD,2PEZX8UB1SB7,Stripe
PAY200177,ORD100149,CUST00025,PayPal,4480.03,2022-07-29,Failed,GBP,ICL12S67JQOQ,Adyen
PAY200178,ORD101287,CUST00132,Credit Card,2775.48,2022-12-25,Pending,USD,N1R6X8YIU1YD,Adyen
PAY200179,ORD101270,CUST00743,UPI,4529.26,2024-06-29,Pending,AED,VA3T862VL1TK,Square
PAY200180,ORD_GHOST_14,CUST00755,PayPal,-53.28,2024-05-08,Refunded,SGD,WYMFVTACBLQI,PayPal
PAY200181,ORD100760,CUST00455,Net Banking,4473.72,2022-06-19,Failed,INR,PDIXCVTFHAKR,Paytm
PAY200182,ORD101261,CUST00629,,845.61,2025-06-09,Refunded,GBP,JQ44G23TYIFJ,Razorpay
PAY200183,ORD100617,CUST00525,UPI,73.6,2022-03-07,Completed,AED,ZLZM7ODTLK87,Paytm
PAY200184,ORD100356,CUST00855,Credit Card,2519.99,2024-02-15,Pending,GBP,FQI1HF2YKGIC,Adyen
PAY200185,ORD101101,CUST00830,Debit Card,739.53,2024-03-03,Completed,GBP,A3VO6YVPDKFE,Razorpay
PAY200186,ORD100054,CUST00310,PayPal,480.71,2024-08-08,Pending,USD,MIGOVR9AHEMB,Razorpay
PAY200187,ORD100248,CUST00860,PayPal,1191.61,2022-11-18,Completed,GBP,T7MGBDVDIINI,Square
PAY200188,ORD100997,CUST00087,Credit Card,3038.33,2022-01-05,Completed,INR,ZXPNGMZYZC0M,Square
PAY200189,ORD100633,CUST00003,PayPal,3649.12,2025-04-01,Pending,INR,A2M2H0CNWQ21,PayPal
PAY200190,ORD100678,CUST00386,Cash on Delivery,-1483.65,2023-08-13,Pending,AED,A0W8MYZDCQR8,Adyen
PAY200191,ORD100876,CUST00349,Bank Transfer,339.15,2022-12-29,Refunded,AED,CAUT3XRBX2WF,Razorpay
PAY200192,ORD100141,CUST00692,Bank Transfer,613.69,2024-09-06,Refunded,USD,N3WHIFYEMF5N,Adyen
PAY200193,ORD101058,CUST00738,UPI,1458.2,2024-11-15,Refunded,INR,6DKFLAB0QM6U,Square
PAY200194,ORD101156,CUST00714,Bank Transfer,785.09,2023-05-14,Completed,INR,FPVW4NH81TJR,Square
PAY200195,ORD100413,CUST00821,UPI,3430.91,2024-04-25,Completed,GBP,67FD2YBNMZOG,Paytm
PAY200196,ORD100451,CUST00893,,4443.06,2022-05-11,Pending,AED,GK7H3I8NO7NQ,Paytm
PAY200197,ORD100532,CUST00542,PayPal,2234.37,2023-08-25,Refunded,INR,F3UZ3AOEAOEU,PayPal
PAY200198,ORD100784,CUST00547,Debit Card,4647.61,2022-08-13,INVALID_STATUS,XYZ,115ZG80ZWVHY,PayPal
PAY200199,ORD100283,CUST00075,UPI,698.4,2022-08-14,Refunded,GBP,6G2KRT47Z0A6,Paytm
PAY200200,ORD_GHOST_11,CUST00581,UPI,-2345.02,2022-10-08,Completed,SGD,KXQHXTDQY89F,Razorpay
PAY200201,ORD100395,CUST00456,Bank Transfer,3243.28,2022-11-16,Completed,SGD,ZJC7R1QOOHF5,Square
PAY200202,ORD100873,CUST00206,Debit Card,71.5,2022-05-18,Pending,USD,346ZSSJNJ8TH,Razorpay
PAY200203,ORD100866,CUST00870,Net Banking,2284.23,2025-03-26,Completed,SGD,F9TO0WZN4XJ7,Paytm
PAY200204,ORD101227,CUST00137,Net Banking,168.93,2024-01-29,Failed,SGD,ZB5FW1DUHBX6,Stripe
PAY200205,ORD100158,CUST00111,Net Banking,4499.66,2023-08-21,Completed,AED,M6Z6XTB80U10,PayPal
PAY200206,ORD100522,CUST00654,Credit Card,387.28,2023-08-01,Failed,INR,CO6MY4GWDSHL,PayPal
PAY200207,ORD100721,CUST00518,PayPal,297.2,2022-03-28,Completed,USD,7SLKD4QJD7B5,Adyen
PAY200208,ORD100210,CUST00415,Bank Transfer,4492.42,2024-12-15,Pending,AED,ZPDSO9SPDU3N,PayPal
PAY200209,ORD101186,CUST00754,Bank Transfer,3578.39,2023-02-18,Pending,INR,ORBLB8TNJXCM,PayPal
PAY200210,ORD100900,CUST00723,,-792.26,2024-01-27,Failed,INR,,Stripe
PAY200211,ORD101395,CUST00339,Net Banking,2720.16,2023-07-03,Refunded,SGD,R5A5HFSH6QRN,Square
PAY200212,ORD101147,CUST00831,UPI,3254.38,2023-06-07,Completed,GBP,3ZFES7P8AT37,Stripe
PAY200213,ORD101096,CUST00578,Bank Transfer,4623.1,2022-09-14,Completed,AED,1I5482Q78E5S,Razorpay
PAY200214,ORD100653,CUST00132,Bank Transfer,3481.81,2024-09-11,Refunded,INR,AVA6FBF4FKKH,Adyen
PAY200215,ORD100106,CUST00358,Cash on Delivery,3707.35,2024-09-17,Refunded,AED,DW7ZPEUWDNVM,Paytm
PAY200216,ORD100824,CUST00789,Credit Card,2303.53,2023-08-30,Refunded,SGD,4H2AWNF3KEYY,PayPal
PAY200217,ORD100401,CUST00800,Bank Transfer,2321.52,2023-02-15,Pending,INR,4U1IWAAYRIBE,Paytm
PAY200218,ORD101311,CUST00601,Credit Card,615.73,2023-11-05,Completed,USD,CZ6PBBOUZY46,Square
PAY200219,ORD100933,CUST00885,Debit Card,2803.71,2023-02-21,Failed,GBP,SZM6VDUQDJI6,Square
PAY200220,ORD_GHOST_14,CUST00424,Cash on Delivery,-4925.51,2024-03-04,INVALID_STATUS,INR,3AH78Y3ON2FO,PayPal
PAY200221,ORD100540,CUST00879,Bank Transfer,4450.41,2022-12-07,Refunded,INR,KBB5YFTXDXNA,Stripe
PAY200222,ORD101206,CUST00025,UPI,2819.42,2023-11-24,Pending,INR,RE8HCX09LPXH,Square
PAY200223,ORD100411,CUST00832,Credit Card,113.67,2022-04-30,Completed,SGD,B3VCPEA74TBS,Razorpay
PAY200224,ORD100687,CUST00716,,4761.6,2022-05-13,Pending,SGD,YWI7ZWPD1OTX,Square
PAY200225,ORD100168,CUST00144,PayPal,4925.97,2024-05-28,Completed,GBP,45U2691456H9,Stripe
