order_id,customer_id,product_name,category,quantity,unit_price,discount_pct,order_amount,order_date,delivery_date,order_status,shipping_city,shipping_country
ORD100032,CUST00086,Fitbit Charge 6,Wearables,2,149,0.22,232.44,2022-12-20,2022-12-28,Delivered,Jaipur,India
ORD100033,CUST00420,DJI Mini 4 Pro,Drones,2,759,0.21,-1199.22,2022-12-21,2023-01-01,Delivered,Surat,India
ORD100034,CUST00350,Sony WH-1000XM5,Audio,5,349,0.11,1553.05,2024-08-12,2024-08-22,Delivered,Abu Dhabi,UAE
ORD100035,CUST00093,Sony A7 IV Camera,Cameras,1,2499,0.03,2424.03,2023-01-09,2023-01-04,Delivered,Pune,India
ORD100036,CUST00021,Logitech MX Keys,Accessories,5,89,0.19,360.45,2022-12-13,2022-12-26,Delivered,Kolkata,India
ORD100037,CUST00742,Mechanical Keyboard,Accessories,4,149,0.02,584.08,2023-05-21,2023-05-26,Shipped,Tokyo,Japan
ORD100038,CUST00723,iPad Pro 12.9,Tablets,0,1099,0.02,3231.06,2023-08-11,2023-08-14,Processing,Hyderabad,India
ORD100039,CUST00856,Garmin Fenix 7,Wearables,3,699,0.12,1845.36,2023-01-21,2023-01-26,Shipped,Pune,India
ORD100040,CUST00271,AirPods Pro 2,Audio,3,249,1.8,590.13,2022-07-09,2022-07-17,Processing,Abu Dhabi,UAE
ORD100041,CUST00536,Mechanical Keyboard,Accessories,3,149,0.23,344.19,2024-07-09,2024-07-23,Shipped,Delhi,India
ORD100042,CUST00583,Garmin Fenix 7,Wearables,4,699,0.05,2656.2,2023-03-08,2023-03-20,Cancelled,Los Angeles,USA
ORD100043,CUST00516,AirPods Pro 2,Audio,2,249,0.1,448.2,2025-02-03,2025-02-17,Processing,Bengaluru,India
ORD100044,CUST00479,Fitbit Charge 6,Wearables,2,149,0.08,-274.16,2023-06-19,2023-06-20,Delivered,Birmingham,UK
ORD100045,CUST_GHOST_18,Samsung Galaxy S24,Phones,4,799,0.04,3068.16,2023-10-24,2023-10-30,Returned,Chicago,USA
ORD100046,CUST00108,,Wearables,1,699,0.1,629.1,2024-01-05,2024-01-19,Delivered,Pune,India
ORD100047,CUST00664,LG 4K Monitor,Monitors,4,449,0.1,1616.4,2022-07-25,2022-07-28,Processing,Surat,India
ORD100048,CUST00771,Samsung Galaxy S24,Phones,4,799,0.16,2684.64,2022-02-14,2022-02-22,Returned,London,UK
ORD100049,CUST00749,Garmin Fenix 7,Wearables,5,699,0.21,2761.05,2024-03-28,2024-04-05,Shipped,Jaipur,India
ORD100050,CUST00695,Mechanical Keyboard,Accessories,5,149,0.1,670.5,2024-04-01,2024-04-06,Delivered,Ahmedabad,India
ORD100051,CUST00793,Fitbit Charge 6,Wearables,1,149,0.13,129.63,2023-07-06,2023-07-16,Cancelled,Abu Dhabi,UAE
ORD100052,CUST00308,Laptop Pro 15,Laptops,2,1299,0.15,2208.3,2025-05-07,2025-05-19,Returned,Kolkata,India
ORD100053,CUST00342,Garmin Fenix 7,Wearables,2,699,0.04,1342.08,2022-04-21,2022-04-23,Processing,Osaka,Japan
ORD100054,CUST00170,iPad Pro 12.9,Tablets,3,1099,0.14,2835.42,2024-08-01,2024-08-02,Shipped,Kolkata,India
ORD100055,CUST00190,Samsung Galaxy S24,Phones,3,799,0.09,-2181.27,2023-04-29,2023-05-13,Shipped,Houston,USA
ORD100056,CUST00569,Dell XPS 13,Laptops,2,999,0.05,1898.1,2024-02-06,2024-02-07,Cancelled,Pune,India
ORD100057,CUST00704,Mechanical Keyboard,Accessories,0,149,0.14,128.14,2024-03-18,2024-03-30,Shipped,Manchester,UK
ORD100058,CUST00782,Dell UltraSharp 27,Monitors,4,399,0.21,1260.84,2030-01-01,2022-07-23,Shipped,New York,USA
ORD100059,CUST00290,iPad Pro 12.9,Tablets,4,1099,0.23,3384.92,2024-05-19,2024-05-29,Cancelled,Dubai,UAE
ORD100060,CUST_GHOST_18,Dell XPS 13,Laptops,3,999,0.15,2547.45,2022-02-25,2022-03-01,Returned,Pune,India
ORD100061,CUST00514,Pixel 8 Pro,Phones,3,699,0.11,1866.33,2022-01-04,2022-01-14,Returned,Osaka,Japan
ORD100062,CUST00142,Dell UltraSharp 27,Monitors,1,399,0.19,323.19,2024-10-20,2024-10-24,Delivered,Kolkata,India
ORD100063,CUST00394,AirPods Pro 2,Audio,4,249,0.03,966.12,2023-01-04,2023-01-11,Shipped,Surat,India
ORD100064,CUST00493,AirPods Pro 2,Audio,4,249,0.2,796.8,2022-03-13,2022-03-18,Cancelled,Pune,India
ORD100065,CUST00855,Samsung Galaxy S24,Phones,4,799,0.2,2556.8,2022-08-06,2022-08-14,Delivered,Los Angeles,USA
ORD100066,CUST00013,ThinkPad X1,Laptops,4,1199,0.24,-3644.96,2022-11-26,2022-12-02,Shipped,Abu Dhabi,UAE
ORD100067,CUST00012,Fitbit Charge 6,Wearables,4,149,0.21,470.84,2024-09-22,2024-10-03,Cancelled,Houston,USA
ORD100068,CUST00760,MacBook Air M3,Laptops,3,1099,0.13,2868.39,2022-08-26,2022-09-05,Cancelled,Birmingham,UK
ORD100069,CUST00865,,Accessories,4,149,0.21,470.84,2024-12-31,2025-01-06,Delivered,Pune,India
ORD100070,CUST00892,LG 4K Monitor,Monitors,5,449,0.23,1728.65,2022-06-13,2022-06-08,Delivered,New York,USA
ORD100071,CUST00833,Garmin Fenix 7,Wearables,3,699,0.06,1971.18,2025-06-12,2025-06-24,Cancelled,Houston,USA
ORD100072,CUST00125,MacBook Air M3,Laptops,4,1099,0.08,4044.32,2024-09-29,2024-10-07,Processing,Delhi,India
ORD100073,CUST00346,DJI Mini 4 Pro,Drones,3,759,0.08,2094.84,2023-08-30,2023-09-12,Delivered,Dubai,UAE
ORD100074,CUST00428,Sony WH-1000XM5,Audio,2,349,0.09,635.18,2022-02-05,2022-02-13,Processing,Surat,India
ORD100075,CUST_GHOST_1,MacBook Air M3,Laptops,5,1099,0.03,5330.15,2024-12-24,2025-01-05,Cancelled,Ahmedabad,India
ORD100076,CUST00130,Samsung Galaxy S24,Phones,0,799,0.16,671.16,2022-10-24,2022-11-04,Cancelled,Houston,USA
ORD100077,CUST00706,Sony WH-1000XM5,Audio,3,349,0.29,-743.37,2025-06-18,2025-06-22,Returned,Abu Dhabi,UAE
ORD100078,CUST00382,Sony A7 IV Camera,Cameras,1,2499,0.02,2449.02,2022-03-20,2022-03-23,Returned,Tokyo,Japan
ORD100079,CUST00743,ThinkPad X1,Laptops,4,1199,0.15,4076.6,2022-06-11,2022-06-17,Processing,Houston,USA
ORD100080,CUST00765,Dell UltraSharp 27,Monitors,1,399,1.8,375.06,2023-06-11,2023-06-23,Delivered,Houston,USA
ORD100081,CUST00311,ThinkPad X1,Laptops,2,1199,0.17,1990.34,2025-06-14,2025-06-23,Returned,Ahmedabad,India
ORD100082,CUST00221,MacBook Air M3,Laptops,3,1099,0.17,2736.51,2024-06-13,2024-06-18,Shipped,Jaipur,India
ORD100083,CUST00186,Fitbit Charge 6,Wearables,1,149,0.18,122.18,2023-08-07,2023-08-12,Delivered,Houston,USA
ORD100084,CUST00673,iPhone 15 Pro,Phones,1,999,0.23,769.23,2022-09-23,2022-09-28,Processing,London,UK
ORD100085,CUST00231,DJI Mini 4 Pro,Drones,3,759,0.03,2208.69,2022-02-07,2022-02-19,Processing,Ahmedabad,India
ORD100086,CUST00730,Dell XPS 13,Laptops,5,999,0.09,4545.45,2025-06-01,2025-06-15,Cancelled,Abu Dhabi,UAE
ORD100087,CUST00399,LG 4K Monitor,Monitors,5,449,0.1,2020.5,2030-01-01,2024-09-10,Delivered,New York,USA
ORD100088,CUST00456,Logitech MX Keys,Accessories,3,89,0.1,-240.3,2022-11-07,2022-11-15,Cancelled,Kolkata,India
ORD100089,CUST00262,Apple Watch Ultra,Wearables,2,799,0.2,1278.4,2024-04-05,2024-04-06,Returned,Bengaluru,India
ORD100090,CUST_GHOST_2,Canon EOS R6,Cameras,5,2499,0.3,8746.5,2023-03-02,2023-03-14,Returned,Los Angeles,USA
ORD100091,CUST00463,AirPods Pro 2,Audio,3,249,0.23,575.19,2024-08-15,2024-08-16,Shipped,Singapore,Singapore
ORD100092,CUST00579,,Wearables,2,699,0.19,1132.38,2024-06-02,2024-06-09,Delivered,Osaka,Japan
ORD100093,CUST00241,AirPods Pro 2,Audio,5,249,0.22,971.1,2024-02-08,2024-02-17,Shipped,Chicago,USA
ORD100094,CUST00224,DJI Mini 4 Pro,Drones,1,759,0.03,736.23,2023-03-09,2023-03-11,Returned,Surat,India
ORD100095,CUST00753,Samsung Galaxy S24,Phones,0,799,0.23,1230.46,2024-04-01,2024-04-10,Cancelled,Los Angeles,USA
ORD100096,CUST00286,iPhone 15 Pro,Phones,4,999,0.27,2917.08,2023-10-17,2023-10-30,Processing,Toronto,Canada
ORD100097,CUST00546,ThinkPad X1,Laptops,3,1199,0.15,3057.45,2024-03-14,2024-03-18,Cancelled,Manchester,UK
ORD100098,CUST00461,Sony A7 IV Camera,Cameras,3,2499,0.25,5622.75,2022-11-18,2022-12-02,Shipped,Chicago,USA
ORD100099,CUST00343,AirPods Pro 2,Audio,1,249,0.16,-209.16,2024-08-08,2024-08-19,Shipped,Sydney,Australia
ORD100100,CUST00429,ThinkPad X1,Laptops,4,1199,0.17,3980.68,2024-05-06,2024-05-13,Shipped,Toronto,Canada
ORD100101,CUST00625,Laptop Pro 15,Laptops,5,1299,0.07,6040.35,2025-06-23,2025-07-02,Delivered,Singapore,Singapore
ORD100102,CUST00333,Garmin Fenix 7,Wearables,4,699,0.28,2013.12,2025-06-02,2025-06-06,Shipped,Abu Dhabi,UAE
ORD100103,CUST00024,Canon EOS R6,Cameras,1,2499,0.29,1774.29,2025-05-16,2025-05-29,Cancelled,Dubai,UAE
ORD100104,CUST00166,Fitbit Charge 6,Wearables,2,149,0.26,220.52,2024-07-26,2024-08-01,Shipped,Pune,India
ORD100105,CUST_GHOST_9,Canon EOS R6,Cameras,2,2499,0.1,4498.2,2022-05-13,2022-05-08,Shipped,Abu Dhabi,UAE
ORD100106,CUST00618,Sony A7 IV Camera,Cameras,4,2499,0.07,9296.28,2024-06-27,2024-07-01,Shipped,London,UK
ORD100107,CUST00858,Fitbit Charge 6,Wearables,1,149,0.24,113.24,2023-11-10,2023-11-24,Shipped,Ahmedabad,India
ORD100108,CUST00034,Sony A7 IV Camera,Cameras,1,2499,0.0,2499.0,2024-04-12,2024-04-26,Returned,Manchester,UK
ORD100109,CUST00267,Dell UltraSharp 27,Monitors,1,399,0.23,307.23,2025-01-05,2025-01-07,Returned,Toronto,Canada
ORD100110,CUST00848,Apple Watch Ultra,Wearables,1,799,0.13,-695.13,2022-05-03,2022-05-08,Cancelled,Tokyo,Japan
ORD100111,CUST00524,MacBook Air M3,Laptops,3,1099,0.12,2901.36,2024-06-20,2024-06-27,Delivered,Chennai,India
ORD100112,CUST00594,iPad Pro 12.9,Tablets,3,1099,0.23,2538.69,2022-08-17,2022-08-29,Shipped,Los Angeles,USA
ORD100113,CUST00249,LG 4K Monitor,Monitors,3,449,0.04,1293.12,2024-09-15,2024-09-19,Processing,Chennai,India
ORD100114,CUST00727,Logitech MX Keys,Accessories,0,89,0.14,76.54,2024-10-03,2024-10-16,Shipped,Osaka,Japan
ORD100115,CUST00456,,Audio,3,349,0.09,952.77,2023-11-09,2023-11-22,Cancelled,Melbourne,Australia
ORD100116,CUST00037,Sony WH-1000XM5,Audio,5,349,0.08,1605.4,2030-01-01,2022-10-17,Returned,Surat,India
ORD100117,CUST00578,Laptop Pro 15,Laptops,2,1299,0.26,1922.52,2024-01-13,2024-01-25,Processing,Surat,India
ORD100118,CUST00487,Samsung Galaxy S24,Phones,5,799,0.19,3235.95,2024-06-19,2024-06-30,Processing,Hyderabad,India
ORD100119,CUST00880,iPad Pro 12.9,Tablets,2,1099,0.18,1802.36,2024-02-26,2024-03-02,Shipped,Mumbai,India
ORD100120,CUST_GHOST_18,iPhone 15 Pro,Phones,5,999,1.8,4545.45,2022-01-25,2022-01-30,Processing,Tokyo,Japan
ORD100121,CUST00634,Fitbit Charge 6,Wearables,5,149,0.12,-655.6,2022-12-15,2022-12-21,Shipped,Abu Dhabi,UAE
ORD100122,CUST00388,Fitbit Charge 6,Wearables,3,149,0.16,375.48,2024-09-20,2024-10-01,Shipped,Birmingham,UK
ORD100123,CUST00389,Canon EOS R6,Cameras,2,2499,0.15,4248.3,2022-01-30,2022-02-10,Delivered,New York,USA
ORD100124,CUST00154,Pixel 8 Pro,Phones,3,699,0.06,1971.18,2023-07-24,2023-08-03,Delivered,Toronto,Canada
ORD100125,CUST00584,iPhone 15 Pro,Phones,3,999,0.15,2547.45,2022-01-25,2022-02-08,Returned,Ahmedabad,India
ORD100126,CUST00409,iPhone 15 Pro,Phones,3,999,0.2,2397.6,2022-07-22,2022-07-28,Returned,Bengaluru,India
ORD100127,CUST00867,Sony WH-1000XM5,Audio,5,349,0.29,1238.95,2025-01-06,2025-01-20,Delivered,Delhi,India
ORD100128,CUST00251,Sony A7 IV Camera,Cameras,5,2499,0.16,10495.8,2023-06-09,2023-06-22,Shipped,Melbourne,Australia
ORD100129,CUST00468,Pixel 8 Pro,Phones,2,699,0.21,1104.42,2022-12-30,2022-12-31,Returned,Jaipur,India
ORD100130,CUST00195,Apple Watch Ultra,Wearables,3,799,0.03,2325.09,2022-05-11,2022-05-14,Returned,Surat,India
ORD100131,CUST00600,MacBook Air M3,Laptops,2,1099,0.07,2044.14,2025-04-05,2025-04-13,Cancelled,Chennai,India
ORD100132,CUST00650,Apple Watch Ultra,Wearables,1,799,0.1,-719.1,2022-05-30,2022-06-03,Cancelled,Chennai,India
ORD100133,CUST00103,Sony A7 IV Camera,Cameras,0,2499,0.14,2149.14,2025-01-15,2025-01-25,Shipped,Singapore,Singapore
ORD100134,CUST00596,Canon EOS R6,Cameras,3,2499,0.17,6222.51,2024-05-30,2024-06-13,Delivered,Tokyo,Japan
ORD100135,CUST_GHOST_19,Sony A7 IV Camera,Cameras,2,2499,0.18,4098.36,2024-07-23,2024-07-24,Processing,Osaka,Japan
ORD100136,CUST00647,LG 4K Monitor,Monitors,5,449,0.08,2065.4,2022-12-28,2023-01-03,Returned,Manchester,UK
ORD100137,CUST00307,Fitbit Charge 6,Wearables,3,149,0.29,317.37,2023-06-26,2023-07-10,Returned,Ahmedabad,India
ORD100138,CUST00516,,Accessories,3,89,0.2,213.6,2023-09-25,2023-10-06,Cancelled,Chennai,India
ORD100139,CUST00522,Samsung Galaxy S24,Phones,4,799,0.0,3196.0,2024-08-21,2024-08-29,Shipped,Pune,India
ORD100140,CUST00097,Dell XPS 13,Laptops,4,999,0.2,3196.8,2024-06-26,2024-06-21,Returned,Pune,India
ORD100141,CUST00219,iPhone 15 Pro,Phones,1,999,0.23,769.23,2023-09-22,2023-10-01,Processing,New York,USA
ORD100142,CUST00308,Fitbit Charge 6,Wearables,4,149,0.03,578.12,2025-06-02,2025-06-06,Returned,Sydney,Australia
ORD100143,CUST00785,iPad Pro 12.9,Tablets,3,1099,0.05,-3132.15,2024-03-22,2024-04-04,Shipped,Pune,India
ORD100144,CUST00529,DJI Mini 4 Pro,Drones,2,759,0.1,1366.2,2024-08-28,2024-09-08,Returned,Houston,USA
ORD100145,CUST00484,Sony WH-1000XM5,Audio,2,349,0.28,502.56,2030-01-01,2023-09-20,Shipped,Surat,India
ORD100146,CUST00323,Logitech MX Keys,Accessories,3,89,0.25,200.25,2024-07-10,2024-07-15,Cancelled,Abu Dhabi,UAE
ORD100147,CUST00414,Dell UltraSharp 27,Monitors,4,399,0.0,1596.0,2022-04-24,2022-05-01,Processing,Toronto,Canada
ORD100148,CUST00020,iPad Pro 12.9,Tablets,4,1099,0.23,3384.92,2023-02-19,2023-02-23,Processing,Surat,India
ORD100149,CUST00810,Mechanical Keyboard,Accessories,1,149,0.1,134.1,2024-02-23,2024-02-29,Returned,Dubai,UAE
ORD100150,CUST_GHOST_14,iPhone 15 Pro,Phones,2,999,0.19,1618.38,2023-07-16,2023-07-18,Delivered,Ahmedabad,India
ORD100151,CUST00739,Samsung Galaxy S24,Phones,3,799,0.22,1869.66,2025-04-29,2025-05-07,Delivered,Osaka,Japan
ORD100152,CUST00622,Dell UltraSharp 27,Monitors,0,399,0.07,1484.28,2025-04-15,2025-04-22,Delivered,Chennai,India
ORD100153,CUST00379,MacBook Air M3,Laptops,3,1099,0.08,3033.24,2024-06-16,2024-06-21,Delivered,Manchester,UK
ORD100154,CUST00794,iPad Pro 12.9,Tablets,1,1099,0.1,-989.1,2024-04-27,2024-05-11,Shipped,Hyderabad,India
ORD100155,CUST00576,Garmin Fenix 7,Wearables,3,699,0.17,1740.51,2022-06-30,2022-07-08,Shipped,New York,USA
ORD100156,CUST00267,Garmin Fenix 7,Wearables,5,699,0.23,2691.15,2025-02-14,2025-02-23,Processing,Melbourne,Australia
ORD100157,CUST00070,Laptop Pro 15,Laptops,2,1299,0.23,2000.46,2023-10-05,2023-10-19,Processing,Osaka,Japan
ORD100158,CUST00480,Sony A7 IV Camera,Cameras,2,2499,0.06,4698.12,2023-04-12,2023-04-20,Processing,New York,USA
ORD100159,CUST00766,iPhone 15 Pro,Phones,3,999,0.08,2757.24,2022-02-17,2022-02-20,Delivered,Toronto,Canada
ORD100160,CUST00499,LG 4K Monitor,Monitors,4,449,1.8,1580.48,2022-04-09,2022-04-23,Returned,Delhi,India
ORD100161,CUST00448,,Wearables,3,149,0.0,447.0,2022-03-07,2022-03-16,Processing,Dubai,UAE
ORD100162,CUST00650,Canon EOS R6,Cameras,3,2499,0.17,6222.51,2022-05-18,2022-05-30,Delivered,Abu Dhabi,UAE
ORD100163,CUST00545,Dell XPS 13,Laptops,5,999,0.23,3846.15,2022-11-21,2022-12-04,Returned,Bengaluru,India
ORD100164,CUST00196,Garmin Fenix 7,Wearables,4,699,0.18,2292.72,2022-05-30,2022-06-12,Cancelled,Jaipur,India
ORD100165,CUST_GHOST_4,Sony A7 IV Camera,Cameras,4,2499,0.27,-7297.08,2023-11-08,2023-11-10,Shipped,Toronto,Canada
ORD100166,CUST00800,Garmin Fenix 7,Wearables,3,699,0.14,1803.42,2024-06-04,2024-06-05,Cancelled,Abu Dhabi,UAE
ORD100167,CUST00400,AirPods Pro 2,Audio,1,249,0.19,201.69,2022-02-08,2022-02-09,Shipped,New York,USA
ORD100168,CUST00229,LG 4K Monitor,Monitors,2,449,0.08,826.16,2025-04-11,2025-04-22,Processing,Dubai,UAE
ORD100169,CUST00589,Sony A7 IV Camera,Cameras,2,2499,0.23,3848.46,2023-12-28,2024-01-09,Returned,Hyderabad,India
ORD100170,CUST00186,iPhone 15 Pro,Phones,2,999,0.06,1878.12,2022-07-26,2022-07-27,Returned,Singapore,Singapore
ORD100171,CUST00071,MacBook Air M3,Laptops,0,1099,0.16,1846.32,2023-11-02,2023-11-16,Processing,Ahmedabad,India
ORD100172,CUST00435,iPhone 15 Pro,Phones,2,999,0.09,1818.18,2023-07-10,2023-07-14,Shipped,Osaka,Japan
ORD100173,CUST00451,Mechanical Keyboard,Accessories,1,149,0.04,143.04,2022-09-10,2022-09-24,Cancelled,Mumbai,India
ORD100174,CUST00458,Sony A7 IV Camera,Cameras,2,2499,0.11,4448.22,2030-01-01,2024-06-24,Shipped,Kolkata,India
ORD100175,CUST00096,Dell UltraSharp 27,Monitors,5,399,0.24,1516.2,2022-12-25,2022-12-20,Returned,Tokyo,Japan
ORD100176,CUST00215,Fitbit Charge 6,Wearables,1,149,0.05,-141.55,2022-09-04,2022-09-12,Returned,Los Angeles,USA
ORD100177,CUST00093,Logitech MX Keys,Accessories,4,89,0.06,334.64,2024-11-04,2024-11-10,Cancelled,Jaipur,India
ORD100178,CUST00017,Fitbit Charge 6,Wearables,1,149,0.28,107.28,2022-01-15,2022-01-22,Cancelled,Chicago,USA
ORD100179,CUST00318,ThinkPad X1,Laptops,3,1199,0.11,3201.33,2022-05-14,2022-05-21,Processing,Ahmedabad,India
ORD100180,CUST_GHOST_0,Dell XPS 13,Laptops,4,999,0.26,2957.04,2023-07-17,2023-07-29,Processing,Delhi,India
ORD100181,CUST00010,iPad Pro 12.9,Tablets,2,1099,0.05,2088.1,2022-09-20,2022-09-29,Shipped,Hyderabad,India
ORD100182,CUST00822,Canon EOS R6,Cameras,1,2499,0.02,2449.02,2023-03-06,2023-03-20,Processing,Los Angeles,USA
ORD100183,CUST00430,DJI Mini 4 Pro,Drones,4,759,0.25,2277.0,2022-12-20,2022-12-23,Returned,Hyderabad,India
ORD100184,CUST00113,,Phones,3,799,0.26,1773.78,2022-11-29,2022-11-30,Cancelled,Kolkata,India
ORD100185,CUST00862,AirPods Pro 2,Audio,4,249,0.19,806.76,2023-06-28,2023-07-08,Processing,Mumbai,India
ORD100186,CUST00482,Laptop Pro 15,Laptops,3,1299,0.01,3858.03,2022-03-12,2022-03-24,Shipped,Houston,USA
ORD100187,CUST00613,MacBook Air M3,Laptops,5,1099,0.11,-4890.55,2024-12-11,2024-12-14,Shipped,Chennai,India
ORD100188,CUST00095,Laptop Pro 15,Laptops,3,1299,0.27,2844.81,2024-05-09,2024-05-11,Delivered,Manchester,UK
ORD100189,CUST00550,Sony A7 IV Camera,Cameras,4,2499,0.26,7397.04,2024-06-20,2024-06-23,Returned,Toronto,Canada
ORD100190,CUST00264,Laptop Pro 15,Laptops,0,1299,0.14,3351.42,2022-09-20,2022-09-26,Returned,Los Angeles,USA
ORD100191,CUST00767,DJI Mini 4 Pro,Drones,1,759,0.14,652.74,2025-03-15,2025-03-19,Shipped,Ahmedabad,India
ORD100192,CUST00147,Fitbit Charge 6,Wearables,2,149,0.24,226.48,2023-04-07,2023-04-18,Delivered,Tokyo,Japan
ORD100193,CUST00630,ThinkPad X1,Laptops,4,1199,0.08,4412.32,2022-08-04,2022-08-08,Shipped,Jaipur,India
ORD100194,CUST00474,Samsung Galaxy S24,Phones,3,799,0.1,2157.3,2025-04-24,2025-05-03,Returned,Abu Dhabi,UAE
ORD100195,CUST_GHOST_11,Sony WH-1000XM5,Audio,2,349,0.1,628.2,2022-10-25,2022-11-04,Delivered,Tokyo,Japan
ORD100196,CUST00187,Dell UltraSharp 27,Monitors,1,399,0.24,303.24,2022-01-30,2022-02-02,Delivered,Ahmedabad,India
ORD100197,CUST00586,Samsung Galaxy S24,Phones,4,799,0.1,2876.4,2024-09-11,2024-09-19,Processing,Kolkata,India
ORD100198,CUST00220,Garmin Fenix 7,Wearables,4,699,0.14,-2404.56,2024-07-17,2024-07-27,Processing,Dubai,UAE
ORD100199,CUST00672,Sony A7 IV Camera,Cameras,1,2499,0.22,1949.22,2024-11-19,2024-11-25,Processing,Pune,India
ORD100200,CUST00500,Sony WH-1000XM5,Audio,3,349,1.8,795.72,2025-01-29,2025-02-06,Delivered,Sydney,Australia
ORD100201,CUST00801,Logitech MX Keys,Accessories,5,89,0.08,409.4,2024-01-19,2024-01-26,Delivered,Dubai,UAE
ORD100202,CUST00469,iPad Pro 12.9,Tablets,1,1099,0.07,1022.07,2022-08-16,2022-08-18,Returned,Melbourne,Australia
ORD100203,CUST00315,AirPods Pro 2,Audio,2,249,0.26,368.52,2030-01-01,2024-07-22,Returned,Bengaluru,India
